N,M,K,D,Ktrue,Dtrue,dataseed,maskseed,inforate
40.0,40.0,1.0,2.0,5.0,5.0,102.0,110.0,-2.397743021593486
40.0,40.0,1.0,2.0,5.0,5.0,103.0,101.0,-2.5438428511134052
40.0,40.0,1.0,2.0,5.0,5.0,103.0,102.0,-2.4092126099884075
40.0,40.0,1.0,2.0,5.0,5.0,103.0,103.0,-2.549321556475342
40.0,40.0,1.0,2.0,5.0,5.0,103.0,104.0,-2.7558470388565754
40.0,40.0,1.0,2.0,5.0,5.0,103.0,105.0,-2.3175500167758942
40.0,40.0,1.0,2.0,5.0,5.0,103.0,106.0,-2.447630894611776
40.0,40.0,1.0,2.0,5.0,5.0,103.0,107.0,-2.6393229096478388
40.0,40.0,1.0,2.0,5.0,5.0,103.0,108.0,-2.4415146814365976
40.0,40.0,1.0,2.0,5.0,5.0,103.0,109.0,-2.7092953341608226
40.0,40.0,1.0,2.0,5.0,5.0,103.0,110.0,-2.401120840820141
40.0,40.0,1.0,2.0,5.0,5.0,104.0,101.0,-2.2841550962269603
40.0,40.0,1.0,2.0,5.0,5.0,104.0,102.0,-2.238368434534322
40.0,40.0,1.0,2.0,5.0,5.0,104.0,103.0,-2.2576189301766387
40.0,40.0,1.0,2.0,5.0,5.0,104.0,104.0,-2.2760927351384486
40.0,40.0,1.0,2.0,5.0,5.0,104.0,105.0,-2.4246591926003815
40.0,40.0,1.0,2.0,5.0,5.0,104.0,106.0,-2.3454371038687074
40.0,40.0,1.0,2.0,5.0,5.0,104.0,107.0,-2.289009588971943
40.0,40.0,1.0,2.0,5.0,5.0,104.0,108.0,-2.3218589578230846
40.0,40.0,1.0,2.0,5.0,5.0,104.0,109.0,-2.283146235809028
40.0,40.0,1.0,2.0,5.0,5.0,104.0,110.0,-2.316523590193854
40.0,40.0,1.0,2.0,5.0,5.0,105.0,101.0,-2.3170106290661847
40.0,40.0,1.0,2.0,5.0,5.0,105.0,102.0,-2.451402725354511
40.0,40.0,1.0,2.0,5.0,5.0,105.0,103.0,-2.3791607966880877
40.0,40.0,1.0,2.0,5.0,5.0,105.0,104.0,-2.2465674711193575
40.0,40.0,1.0,2.0,5.0,5.0,105.0,105.0,-2.345019973304691
40.0,40.0,1.0,2.0,5.0,5.0,105.0,106.0,-2.347115895201458
40.0,40.0,1.0,2.0,5.0,5.0,105.0,107.0,-2.3676626314828484
40.0,40.0,1.0,2.0,5.0,5.0,105.0,108.0,-2.3225647534532747
40.0,40.0,1.0,2.0,5.0,5.0,105.0,109.0,-2.2671921179320838
40.0,40.0,1.0,2.0,5.0,5.0,105.0,110.0,-2.3062697177795273
40.0,40.0,1.0,3.0,5.0,5.0,101.0,101.0,-2.653598850612273
40.0,40.0,1.0,3.0,5.0,5.0,101.0,102.0,-2.6337285098262035
40.0,40.0,1.0,3.0,5.0,5.0,101.0,103.0,-2.84347461373241
40.0,40.0,1.0,3.0,5.0,5.0,101.0,104.0,-2.6604158785997365
40.0,40.0,1.0,3.0,5.0,5.0,101.0,105.0,-2.6978055724651946
40.0,40.0,1.0,3.0,5.0,5.0,101.0,106.0,-2.6633815437832355
40.0,40.0,1.0,3.0,5.0,5.0,101.0,107.0,-2.5731870249596676
40.0,40.0,1.0,3.0,5.0,5.0,101.0,108.0,-2.5533764827743544
40.0,40.0,1.0,3.0,5.0,5.0,101.0,109.0,-2.604629381578351
40.0,40.0,1.0,3.0,5.0,5.0,101.0,110.0,-2.576274710021206
40.0,40.0,1.0,3.0,5.0,5.0,102.0,101.0,-2.5504004578958086
40.0,40.0,1.0,3.0,5.0,5.0,102.0,102.0,-2.506696663228717
40.0,40.0,1.0,3.0,5.0,5.0,102.0,103.0,-2.6437277152768783
40.0,40.0,1.0,3.0,5.0,5.0,102.0,104.0,-2.6351157701749
40.0,40.0,1.0,3.0,5.0,5.0,102.0,105.0,-2.4175102433732527
40.0,40.0,1.0,3.0,5.0,5.0,102.0,106.0,-2.5595733250347936
40.0,40.0,1.0,3.0,5.0,5.0,102.0,107.0,-2.4169276285690438
40.0,40.0,1.0,3.0,5.0,5.0,102.0,108.0,-2.4127593961063885
40.0,40.0,1.0,3.0,5.0,5.0,102.0,109.0,-2.4435558378643587
40.0,40.0,1.0,3.0,5.0,5.0,102.0,110.0,-2.466209843179888
40.0,40.0,1.0,3.0,5.0,5.0,103.0,101.0,-2.6474662586565096
40.0,40.0,1.0,3.0,5.0,5.0,103.0,102.0,-2.4664413541379613
40.0,40.0,1.0,3.0,5.0,5.0,103.0,103.0,-2.6368617994940187
40.0,40.0,1.0,3.0,5.0,5.0,103.0,104.0,-2.858972260634582
40.0,40.0,1.0,3.0,5.0,5.0,103.0,105.0,-2.354753521635059
40.0,40.0,1.0,3.0,5.0,5.0,103.0,106.0,-2.5216399917519943
40.0,40.0,1.0,3.0,5.0,5.0,103.0,107.0,-2.750328556900438
40.0,40.0,1.0,3.0,5.0,5.0,103.0,108.0,-2.5107831277720343
40.0,40.0,1.0,3.0,5.0,5.0,103.0,109.0,-2.8308516932723853
40.0,40.0,1.0,3.0,5.0,5.0,103.0,110.0,-2.4654778756883684
40.0,40.0,1.0,3.0,5.0,5.0,104.0,101.0,-2.3313568037627603
40.0,40.0,1.0,3.0,5.0,5.0,104.0,102.0,-2.2728811939314504
40.0,40.0,1.0,3.0,5.0,5.0,104.0,103.0,-2.297546638486587
40.0,40.0,1.0,3.0,5.0,5.0,104.0,104.0,-2.320503028607888
40.0,40.0,1.0,3.0,5.0,5.0,104.0,105.0,-2.492808790783643
40.0,40.0,1.0,3.0,5.0,5.0,104.0,106.0,-2.4010610291479138
40.0,40.0,1.0,3.0,5.0,5.0,104.0,107.0,-2.335472540384174
40.0,40.0,1.0,3.0,5.0,5.0,104.0,108.0,-2.3749662042718724
40.0,40.0,1.0,3.0,5.0,5.0,104.0,109.0,-2.3281475545742505
40.0,40.0,1.0,3.0,5.0,5.0,104.0,110.0,-2.3649188761327484
40.0,40.0,1.0,3.0,5.0,5.0,105.0,101.0,-2.3843208790292336
40.0,40.0,1.0,3.0,5.0,5.0,105.0,102.0,-2.5357844436445207
40.0,40.0,1.0,3.0,5.0,5.0,105.0,103.0,-2.4614898352706396
40.0,40.0,1.0,3.0,5.0,5.0,105.0,104.0,-2.2985074052152052
40.0,40.0,1.0,3.0,5.0,5.0,105.0,105.0,-2.418779053806119
40.0,40.0,1.0,3.0,5.0,5.0,105.0,106.0,-2.4185980896146217
40.0,40.0,1.0,3.0,5.0,5.0,105.0,107.0,-2.4426549425749777
40.0,40.0,1.0,3.0,5.0,5.0,105.0,108.0,-2.3920182502600955
40.0,40.0,1.0,3.0,5.0,5.0,105.0,109.0,-2.318904792248697
40.0,40.0,1.0,3.0,5.0,5.0,105.0,110.0,-2.365906377533596
40.0,40.0,1.0,4.0,5.0,5.0,101.0,101.0,-2.7372005028077506
40.0,40.0,1.0,4.0,5.0,5.0,101.0,102.0,-2.720573196205497
40.0,40.0,1.0,4.0,5.0,5.0,101.0,103.0,-2.9530302744602235
40.0,40.0,1.0,4.0,5.0,5.0,101.0,104.0,-2.7465920100049193
40.0,40.0,1.0,4.0,5.0,5.0,101.0,105.0,-2.7952771727678933
40.0,40.0,1.0,4.0,5.0,5.0,101.0,106.0,-2.7582425539893083
40.0,40.0,1.0,4.0,5.0,5.0,101.0,107.0,-2.65175321410707
40.0,40.0,1.0,4.0,5.0,5.0,101.0,108.0,-2.628138159313321
40.0,40.0,1.0,4.0,5.0,5.0,101.0,109.0,-2.6854841629808166
40.0,40.0,1.0,4.0,5.0,5.0,101.0,110.0,-2.6507483442653723
40.0,40.0,1.0,4.0,5.0,5.0,102.0,101.0,-2.627721870977832
40.0,40.0,1.0,4.0,5.0,5.0,102.0,102.0,-2.5887672551991683
40.0,40.0,1.0,4.0,5.0,5.0,102.0,103.0,-2.740563938700264
40.0,40.0,1.0,4.0,5.0,5.0,102.0,104.0,-2.7298839875211125
40.0,40.0,1.0,4.0,5.0,5.0,102.0,105.0,-2.4774463372402225
40.0,40.0,1.0,4.0,5.0,5.0,102.0,106.0,-2.648368268603368
40.0,40.0,1.0,4.0,5.0,5.0,102.0,107.0,-2.4808224430081793
40.0,40.0,1.0,4.0,5.0,5.0,102.0,108.0,-2.4776593066385355
40.0,40.0,1.0,4.0,5.0,5.0,102.0,109.0,-2.5092485319902362
40.0,40.0,1.0,4.0,5.0,5.0,102.0,110.0,-2.5368899440642405
40.0,40.0,1.0,4.0,5.0,5.0,103.0,101.0,-2.7407817792544646
40.0,40.0,1.0,4.0,5.0,5.0,103.0,102.0,-2.5256555186219436
40.0,40.0,1.0,4.0,5.0,5.0,103.0,103.0,-2.722156793603352
40.0,40.0,1.0,4.0,5.0,5.0,103.0,104.0,-2.9577842268571026
40.0,40.0,1.0,4.0,5.0,5.0,103.0,105.0,-2.401876738841113
40.0,40.0,1.0,4.0,5.0,5.0,103.0,106.0,-2.595105511730162
40.0,40.0,1.0,4.0,5.0,5.0,103.0,107.0,-2.856740210792565
40.0,40.0,1.0,4.0,5.0,5.0,103.0,108.0,-2.581032935805655
40.0,40.0,1.0,4.0,5.0,5.0,103.0,109.0,-2.946322513243658
40.0,40.0,1.0,4.0,5.0,5.0,103.0,110.0,-2.5318540858257768
40.0,40.0,1.0,4.0,5.0,5.0,104.0,101.0,-2.384386753792593
40.0,40.0,1.0,4.0,5.0,5.0,104.0,102.0,-2.315771715024904
40.0,40.0,1.0,4.0,5.0,5.0,104.0,103.0,-2.344286536646336
40.0,40.0,1.0,4.0,5.0,5.0,104.0,104.0,-2.370546575809594
40.0,40.0,1.0,4.0,5.0,5.0,104.0,105.0,-2.564282779934655
40.0,40.0,1.0,4.0,5.0,5.0,104.0,106.0,-2.4606767134013126
40.0,40.0,1.0,4.0,5.0,5.0,104.0,107.0,-2.388761307927665
40.0,40.0,1.0,4.0,5.0,5.0,104.0,108.0,-2.434481888458947
40.0,40.0,1.0,4.0,5.0,5.0,104.0,109.0,-2.379200618821844
40.0,40.0,1.0,4.0,5.0,5.0,104.0,110.0,-2.4202030588296877
40.0,40.0,1.0,4.0,5.0,5.0,105.0,101.0,-2.4536507319760226
40.0,40.0,1.0,4.0,5.0,5.0,105.0,102.0,-2.616958450835417
40.0,40.0,1.0,4.0,5.0,5.0,105.0,103.0,-2.540355725056066
40.0,40.0,1.0,4.0,5.0,5.0,105.0,104.0,-2.3558121628281605
40.0,40.0,1.0,4.0,5.0,5.0,105.0,105.0,-2.492267987545598
40.0,40.0,1.0,4.0,5.0,5.0,105.0,106.0,-2.49175513167424
40.0,40.0,1.0,4.0,5.0,5.0,105.0,107.0,-2.5175268312489076
40.0,40.0,1.0,4.0,5.0,5.0,105.0,108.0,-2.462028517161483
40.0,40.0,1.0,4.0,5.0,5.0,105.0,109.0,-2.377754213489487
40.0,40.0,1.0,4.0,5.0,5.0,105.0,110.0,-2.426000660226139
40.0,40.0,1.0,5.0,5.0,5.0,101.0,101.0,-2.8110793068994684
40.0,40.0,1.0,5.0,5.0,5.0,101.0,102.0,-2.7973251374613013
40.0,40.0,1.0,5.0,5.0,5.0,101.0,103.0,-3.0529650852159764
40.0,40.0,1.0,5.0,5.0,5.0,101.0,104.0,-2.8210006987633633
40.0,40.0,1.0,5.0,5.0,5.0,101.0,105.0,-2.883214404846723
40.0,40.0,1.0,5.0,5.0,5.0,101.0,106.0,-2.8445929930562786
40.0,40.0,1.0,5.0,5.0,5.0,101.0,107.0,-2.725916046447837
40.0,40.0,1.0,5.0,5.0,5.0,101.0,108.0,-2.6995763707874065
40.0,40.0,1.0,5.0,5.0,5.0,101.0,109.0,-2.757255539668692
40.0,40.0,1.0,5.0,5.0,5.0,101.0,110.0,-2.7190995405535583
40.0,40.0,1.0,5.0,5.0,5.0,102.0,101.0,-2.7036567756820493
40.0,40.0,1.0,5.0,5.0,5.0,102.0,102.0,-2.663026852378839
40.0,40.0,1.0,5.0,5.0,5.0,102.0,103.0,-2.824346017130885
40.0,40.0,1.0,5.0,5.0,5.0,102.0,104.0,-2.8142655831596612
40.0,40.0,1.0,5.0,5.0,5.0,102.0,105.0,-2.5348838930134523
40.0,40.0,1.0,5.0,5.0,5.0,102.0,106.0,-2.729117527578188
40.0,40.0,1.0,5.0,5.0,5.0,102.0,107.0,-2.54251378404104
40.0,40.0,1.0,5.0,5.0,5.0,102.0,108.0,-2.5395742633903495
40.0,40.0,1.0,5.0,5.0,5.0,102.0,109.0,-2.5706316644031286
40.0,40.0,1.0,5.0,5.0,5.0,102.0,110.0,-2.599479335078613
40.0,40.0,1.0,5.0,5.0,5.0,103.0,101.0,-2.82755970087129
40.0,40.0,1.0,5.0,5.0,5.0,103.0,102.0,-2.5840258477101385
40.0,40.0,1.0,5.0,5.0,5.0,103.0,103.0,-2.800054676579603
40.0,40.0,1.0,5.0,5.0,5.0,103.0,104.0,-3.047028367862092
40.0,40.0,1.0,5.0,5.0,5.0,103.0,105.0,-2.445058900552028
40.0,40.0,1.0,5.0,5.0,5.0,103.0,106.0,-2.6649186242365026
40.0,40.0,1.0,5.0,5.0,5.0,103.0,107.0,-2.9527421314006
40.0,40.0,1.0,5.0,5.0,5.0,103.0,108.0,-2.645660648456093
40.0,40.0,1.0,5.0,5.0,5.0,103.0,109.0,-3.0359529227972897
40.0,40.0,1.0,5.0,5.0,5.0,103.0,110.0,-2.5952155761144655
40.0,40.0,1.0,5.0,5.0,5.0,104.0,101.0,-2.43654450017857
40.0,40.0,1.0,5.0,5.0,5.0,104.0,102.0,-2.3569701839529977
40.0,40.0,1.0,5.0,5.0,5.0,104.0,103.0,-2.3906155294120395
40.0,40.0,1.0,5.0,5.0,5.0,104.0,104.0,-2.417871592583131
40.0,40.0,1.0,5.0,5.0,5.0,104.0,105.0,-2.6304570355523493
40.0,40.0,1.0,5.0,5.0,5.0,104.0,106.0,-2.518851805344056
40.0,40.0,1.0,5.0,5.0,5.0,104.0,107.0,-2.44055615915986
40.0,40.0,1.0,5.0,5.0,5.0,104.0,108.0,-2.491030630497068
40.0,40.0,1.0,5.0,5.0,5.0,104.0,109.0,-2.4286460493654745
40.0,40.0,1.0,5.0,5.0,5.0,104.0,110.0,-2.474722232566731
40.0,40.0,1.0,5.0,5.0,5.0,105.0,101.0,-2.5176877014790713
40.0,40.0,1.0,5.0,5.0,5.0,105.0,102.0,-2.69279510145224
40.0,40.0,1.0,5.0,5.0,5.0,105.0,103.0,-2.6147833423968403
40.0,40.0,1.0,5.0,5.0,5.0,105.0,104.0,-2.4085441278045345
40.0,40.0,1.0,5.0,5.0,5.0,105.0,105.0,-2.5605814504090025
40.0,40.0,1.0,5.0,5.0,5.0,105.0,106.0,-2.5595210594532967
40.0,40.0,1.0,5.0,5.0,5.0,105.0,107.0,-2.584635305193307
40.0,40.0,1.0,5.0,5.0,5.0,105.0,108.0,-2.5282406525736003
40.0,40.0,1.0,5.0,5.0,5.0,105.0,109.0,-2.431246854249784
40.0,40.0,1.0,5.0,5.0,5.0,105.0,110.0,-2.4849809148253432
40.0,40.0,1.0,6.0,5.0,5.0,101.0,101.0,-2.882489920611049
40.0,40.0,1.0,6.0,5.0,5.0,101.0,102.0,-2.866358035830844
40.0,40.0,1.0,6.0,5.0,5.0,101.0,103.0,-3.144211424412194
40.0,40.0,1.0,6.0,5.0,5.0,101.0,104.0,-2.8888711455919722
40.0,40.0,1.0,6.0,5.0,5.0,101.0,105.0,-2.960914057048504
40.0,40.0,1.0,6.0,5.0,5.0,101.0,106.0,-2.9229159405827354
40.0,40.0,1.0,6.0,5.0,5.0,101.0,107.0,-2.7913377311135457
40.0,40.0,1.0,6.0,5.0,5.0,101.0,108.0,-2.7643273603379117
40.0,40.0,1.0,6.0,5.0,5.0,101.0,109.0,-2.8232828919926813
40.0,40.0,1.0,6.0,5.0,5.0,101.0,110.0,-2.783213628140042
40.0,40.0,1.0,6.0,5.0,5.0,102.0,101.0,-2.771613315084143
40.0,40.0,1.0,6.0,5.0,5.0,102.0,102.0,-2.730350625050381
40.0,40.0,1.0,6.0,5.0,5.0,102.0,103.0,-2.9022646319915424
40.0,40.0,1.0,6.0,5.0,5.0,102.0,104.0,-2.8931469889058508
40.0,40.0,1.0,6.0,5.0,5.0,102.0,105.0,-2.588356943427585
40.0,40.0,1.0,6.0,5.0,5.0,102.0,106.0,-2.801731477790089
40.0,40.0,1.0,6.0,5.0,5.0,102.0,107.0,-2.601378288988055
40.0,40.0,1.0,6.0,5.0,5.0,102.0,108.0,-2.5978155471507858
40.0,40.0,1.0,6.0,5.0,5.0,102.0,109.0,-2.625413930391255
40.0,40.0,1.0,6.0,5.0,5.0,102.0,110.0,-2.6600560284377153
40.0,40.0,1.0,6.0,5.0,5.0,103.0,101.0,-2.9032232683380066
40.0,40.0,1.0,6.0,5.0,5.0,103.0,102.0,-2.637453796558133
40.0,40.0,1.0,6.0,5.0,5.0,103.0,103.0,-2.8680664794159374
40.0,40.0,1.0,6.0,5.0,5.0,103.0,104.0,-3.117749005774838
40.0,40.0,1.0,6.0,5.0,5.0,103.0,105.0,-2.4890746795669405
40.0,40.0,1.0,6.0,5.0,5.0,103.0,106.0,-2.728843262395672
40.0,40.0,1.0,6.0,5.0,5.0,103.0,107.0,-3.039190958521295
40.0,40.0,1.0,6.0,5.0,5.0,103.0,108.0,-2.7059446566141996
40.0,40.0,1.0,6.0,5.0,5.0,103.0,109.0,-3.125938236280831
40.0,40.0,1.0,6.0,5.0,5.0,103.0,110.0,-2.6532680655593395
40.0,40.0,1.0,6.0,5.0,5.0,104.0,101.0,-2.485262613025115
40.0,40.0,1.0,6.0,5.0,5.0,104.0,102.0,-2.398079930588595
40.0,40.0,1.0,6.0,5.0,5.0,104.0,103.0,-2.4379522391222763
40.0,40.0,1.0,6.0,5.0,5.0,104.0,104.0,-2.4637609156033444
40.0,40.0,1.0,6.0,5.0,5.0,104.0,105.0,-2.688828186517378
40.0,40.0,1.0,6.0,5.0,5.0,104.0,106.0,-2.5708401592134797
40.0,40.0,1.0,6.0,5.0,5.0,104.0,107.0,-2.4905496461924743
40.0,40.0,1.0,6.0,5.0,5.0,104.0,108.0,-2.5475734984247573
40.0,40.0,1.0,6.0,5.0,5.0,104.0,109.0,-2.4773919074936708
40.0,40.0,1.0,6.0,5.0,5.0,104.0,110.0,-2.5245406847909235
40.0,40.0,1.0,6.0,5.0,5.0,105.0,101.0,-2.5788292018546106
40.0,40.0,1.0,6.0,5.0,5.0,105.0,102.0,-2.7632378261490875
40.0,40.0,1.0,6.0,5.0,5.0,105.0,103.0,-2.683288376285097
40.0,40.0,1.0,6.0,5.0,5.0,105.0,104.0,-2.460757590961857
40.0,40.0,1.0,6.0,5.0,5.0,105.0,105.0,-2.6264720118585756
40.0,40.0,1.0,6.0,5.0,5.0,105.0,106.0,-2.6199821600410593
40.0,40.0,1.0,6.0,5.0,5.0,105.0,107.0,-2.649045617615347
40.0,40.0,1.0,6.0,5.0,5.0,105.0,108.0,-2.5890756607720333
40.0,40.0,1.0,6.0,5.0,5.0,105.0,109.0,-2.4815541170314823
40.0,40.0,1.0,6.0,5.0,5.0,105.0,110.0,-2.540755698626405
40.0,40.0,1.0,7.0,5.0,5.0,101.0,101.0,-2.9448076422155243
40.0,40.0,1.0,7.0,5.0,5.0,101.0,102.0,-2.9317314990134786
40.0,40.0,1.0,7.0,5.0,5.0,101.0,103.0,-3.2220661238339856
40.0,40.0,1.0,7.0,5.0,5.0,101.0,104.0,-2.9511669818359714
40.0,40.0,1.0,7.0,5.0,5.0,101.0,105.0,-3.0317026121934334
40.0,40.0,1.0,7.0,5.0,5.0,101.0,106.0,-2.9910217161055583
40.0,40.0,1.0,7.0,5.0,5.0,101.0,107.0,-2.8524310348250195
40.0,40.0,1.0,7.0,5.0,5.0,101.0,108.0,-2.8240357373429155
40.0,40.0,1.0,7.0,5.0,5.0,101.0,109.0,-2.884671471067881
40.0,40.0,1.0,7.0,5.0,5.0,101.0,110.0,-2.8425190741568245
40.0,40.0,1.0,7.0,5.0,5.0,102.0,101.0,-2.836781755231592
40.0,40.0,1.0,7.0,5.0,5.0,102.0,102.0,-2.793735034277404
40.0,40.0,1.0,7.0,5.0,5.0,102.0,103.0,-2.975024138963897
40.0,40.0,1.0,7.0,5.0,5.0,102.0,104.0,-2.9650236532412206
40.0,40.0,1.0,7.0,5.0,5.0,102.0,105.0,-2.6379279402116813
40.0,40.0,1.0,7.0,5.0,5.0,102.0,106.0,-2.868628155901816
40.0,40.0,1.0,7.0,5.0,5.0,102.0,107.0,-2.656867774916771
40.0,40.0,1.0,7.0,5.0,5.0,102.0,108.0,-2.6529128342793236
40.0,40.0,1.0,7.0,5.0,5.0,102.0,109.0,-2.6777848951356864
40.0,40.0,1.0,7.0,5.0,5.0,102.0,110.0,-2.715282374089807
40.0,40.0,1.0,7.0,5.0,5.0,103.0,101.0,-2.9742701031177505
40.0,40.0,1.0,7.0,5.0,5.0,103.0,102.0,-2.687807517564472
40.0,40.0,1.0,7.0,5.0,5.0,103.0,103.0,-2.9304032737349637
40.0,40.0,1.0,7.0,5.0,5.0,103.0,104.0,-3.183346321946553
40.0,40.0,1.0,7.0,5.0,5.0,103.0,105.0,-2.528155866394275
40.0,40.0,1.0,7.0,5.0,5.0,103.0,106.0,-2.7874172467657803
40.0,40.0,1.0,7.0,5.0,5.0,103.0,107.0,-3.1138772085462896
40.0,40.0,1.0,7.0,5.0,5.0,103.0,108.0,-2.7623823099915135
40.0,40.0,1.0,7.0,5.0,5.0,103.0,109.0,-3.1972202880911778
40.0,40.0,1.0,7.0,5.0,5.0,103.0,110.0,-2.7056362522350734
40.0,40.0,1.0,7.0,5.0,5.0,104.0,101.0,-2.5304945635640066
40.0,40.0,1.0,7.0,5.0,5.0,104.0,102.0,-2.437061139015328
40.0,40.0,1.0,7.0,5.0,5.0,104.0,103.0,-2.479767398403859
40.0,40.0,1.0,7.0,5.0,5.0,104.0,104.0,-2.506745366558781
40.0,40.0,1.0,7.0,5.0,5.0,104.0,105.0,-2.7436015553574205
