type,dist,nu,D,seed,distance
1.0,1.0,2.0,8.0,3.0,0.08517777072702627
1.0,1.0,2.0,9.0,3.0,0.09401074365375132
1.0,1.0,2.0,10.0,3.0,0.10194177550120344
1.0,1.0,2.0,11.0,3.0,0.10918232127634797
1.0,1.0,2.0,12.0,3.0,0.11575412422315325
1.0,1.0,2.0,13.0,3.0,0.12160106959686019
1.0,1.0,2.0,14.0,3.0,0.1271504383212208
1.0,1.0,2.0,15.0,3.0,0.13215924953474859
3.0,1.0,2.0,1.0,3.0,0.16554806322744423
3.0,1.0,2.0,2.0,3.0,0.07193614931931706
3.0,1.0,2.0,3.0,3.0,0.04107514609102825
3.0,1.0,2.0,4.0,3.0,0.052362409487566965
3.0,1.0,2.0,5.0,3.0,0.0718379251016903
3.0,1.0,2.0,6.0,3.0,0.08925758392462282
3.0,1.0,2.0,7.0,3.0,0.1038361940845778
3.0,1.0,2.0,8.0,3.0,0.11592506406685923
3.0,1.0,2.0,9.0,3.0,0.12630701007062153
3.0,1.0,2.0,10.0,3.0,0.1356415356701818
3.0,1.0,2.0,11.0,3.0,0.14455741761355662
3.0,1.0,2.0,12.0,3.0,0.1532120160389349
3.0,1.0,2.0,13.0,3.0,0.16148049557167451
3.0,1.0,2.0,14.0,3.0,0.16899114880836266
3.0,1.0,2.0,15.0,3.0,0.17556569429141344
1.0,1.0,2.0,1.0,4.0,0.16550040287245554
1.0,1.0,2.0,2.0,4.0,0.08775020881710807
1.0,1.0,2.0,3.0,4.0,0.0539602328309412
1.0,1.0,2.0,4.0,4.0,0.045974242668351116
1.0,1.0,2.0,5.0,4.0,0.052344530750392755
1.0,1.0,2.0,6.0,4.0,0.06271728107167363
1.0,1.0,2.0,7.0,4.0,0.0732211277104732
1.0,1.0,2.0,8.0,4.0,0.08290073139694702
1.0,1.0,2.0,9.0,4.0,0.09160622509553495
1.0,1.0,2.0,10.0,4.0,0.09937958282556619
1.0,1.0,2.0,11.0,4.0,0.10654531047591316
1.0,1.0,2.0,12.0,4.0,0.11290505184460936
1.0,1.0,2.0,13.0,4.0,0.11874576167455235
1.0,1.0,2.0,14.0,4.0,0.12408992200237405
1.0,1.0,2.0,15.0,4.0,0.12909854186225386
3.0,1.0,2.0,1.0,4.0,0.16550040287245554
3.0,1.0,2.0,2.0,4.0,0.07187980459778819
3.0,1.0,2.0,3.0,4.0,0.04108694388095893
3.0,1.0,2.0,4.0,4.0,0.05225513129355152
3.0,1.0,2.0,5.0,4.0,0.07152739501983263
3.0,1.0,2.0,6.0,4.0,0.08870118964339173
3.0,1.0,2.0,7.0,4.0,0.10299342890647376
3.0,1.0,2.0,8.0,4.0,0.1148628339068394
3.0,1.0,2.0,9.0,4.0,0.12495636894709114
3.0,1.0,2.0,10.0,4.0,0.13394890283851285
3.0,1.0,2.0,11.0,4.0,0.1425389395653662
3.0,1.0,2.0,12.0,4.0,0.15090431641991753
3.0,1.0,2.0,13.0,4.0,0.15897542723058883
3.0,1.0,2.0,14.0,4.0,0.16633090424392913
3.0,1.0,2.0,15.0,4.0,0.17276552457808864
1.0,1.0,2.0,1.0,5.0,0.16567174541685997
1.0,1.0,2.0,2.0,5.0,0.0880167493962402
1.0,1.0,2.0,3.0,5.0,0.05441387027806543
1.0,1.0,2.0,4.0,5.0,0.04661757321565389
1.0,1.0,2.0,5.0,5.0,0.0530153557072266
1.0,1.0,2.0,6.0,5.0,0.06333274299201588
1.0,1.0,2.0,7.0,5.0,0.0738140287830805
1.0,1.0,2.0,8.0,5.0,0.08351461821311626
1.0,1.0,2.0,9.0,5.0,0.09208482258193917
1.0,1.0,2.0,10.0,5.0,0.09990503880469447
1.0,1.0,2.0,11.0,5.0,0.10697326866173826
1.0,1.0,2.0,12.0,5.0,0.11332001743250739
1.0,1.0,2.0,13.0,5.0,0.11904213117386594
1.0,1.0,2.0,14.0,5.0,0.12437045694404492
1.0,1.0,2.0,15.0,5.0,0.12923867729292537
3.0,1.0,2.0,1.0,5.0,0.16567174541685997
3.0,1.0,2.0,2.0,5.0,0.07267544683310989
3.0,1.0,2.0,3.0,5.0,0.04247510066313048
3.0,1.0,2.0,4.0,5.0,0.05284044851171592
3.0,1.0,2.0,5.0,5.0,0.0714437501167111
3.0,1.0,2.0,6.0,5.0,0.08813288998288753
3.0,1.0,2.0,7.0,5.0,0.10203928491410431
3.0,1.0,2.0,8.0,5.0,0.11357624602430616
3.0,1.0,2.0,9.0,5.0,0.12334885478965038
3.0,1.0,2.0,10.0,5.0,0.1320189717549139
3.0,1.0,2.0,11.0,5.0,0.14030535862989582
3.0,1.0,2.0,12.0,5.0,0.14846979642693545
3.0,1.0,2.0,13.0,5.0,0.15633586763057858
3.0,1.0,2.0,14.0,5.0,0.1635698791120299
3.0,1.0,2.0,15.0,5.0,0.16983276300153505
1.0,1.0,3.0,1.0,1.0,0.2486287643657763
1.0,1.0,3.0,2.0,1.0,0.17600276974542595
1.0,1.0,3.0,3.0,1.0,0.136609750211149
1.0,1.0,3.0,4.0,1.0,0.11142710978204819
1.0,1.0,3.0,5.0,1.0,0.09429818791042427
1.0,1.0,3.0,6.0,1.0,0.0824349169939952
1.0,1.0,3.0,7.0,1.0,0.07441738125403831
1.0,1.0,3.0,8.0,1.0,0.0692175636886419
1.0,1.0,3.0,9.0,1.0,0.06616622459442714
1.0,1.0,3.0,10.0,1.0,0.06470661796509682
1.0,1.0,3.0,11.0,1.0,0.06445551320822557
1.0,1.0,3.0,12.0,1.0,0.0650373027707776
1.0,1.0,3.0,13.0,1.0,0.06618538442685226
1.0,1.0,3.0,14.0,1.0,0.06770920880281643
1.0,1.0,3.0,15.0,1.0,0.06952880216398112
3.0,1.0,3.0,1.0,1.0,0.2486287643657763
3.0,1.0,3.0,2.0,1.0,0.16090983212220705
3.0,1.0,3.0,3.0,1.0,0.11394025728181312
3.0,1.0,3.0,4.0,1.0,0.08555919137071695
3.0,1.0,3.0,5.0,1.0,0.06891763587782378
3.0,1.0,3.0,6.0,1.0,0.060510560102036794
3.0,1.0,3.0,7.0,1.0,0.057868846588998823
3.0,1.0,3.0,8.0,1.0,0.05868867469940384
3.0,1.0,3.0,9.0,1.0,0.061215534732057965
3.0,1.0,3.0,10.0,1.0,0.06455389069703082
3.0,1.0,3.0,11.0,1.0,0.06853444651022546
3.0,1.0,3.0,12.0,1.0,0.07369283830002557
3.0,1.0,3.0,13.0,1.0,0.07973068827069484
3.0,1.0,3.0,14.0,1.0,0.08587112935686027
3.0,1.0,3.0,15.0,1.0,0.09135961681780709
1.0,1.0,3.0,1.0,2.0,0.24897561119110925
1.0,1.0,3.0,2.0,2.0,0.17704550857821214
1.0,1.0,3.0,3.0,2.0,0.13840162003399256
1.0,1.0,3.0,4.0,2.0,0.11391723874143973
1.0,1.0,3.0,5.0,2.0,0.09744539872299054
1.0,1.0,3.0,6.0,2.0,0.08607749757842152
1.0,1.0,3.0,7.0,2.0,0.0782781876182404
1.0,1.0,3.0,8.0,2.0,0.07314392292857953
1.0,1.0,3.0,9.0,2.0,0.06992655716918096
1.0,1.0,3.0,10.0,2.0,0.06810187174786834
1.0,1.0,3.0,11.0,2.0,0.0675738708395223
1.0,1.0,3.0,12.0,2.0,0.06766452136268973
1.0,1.0,3.0,13.0,2.0,0.06830054949731443
1.0,1.0,3.0,14.0,2.0,0.06937404930867212
1.0,1.0,3.0,15.0,2.0,0.0706968792104185
3.0,1.0,3.0,1.0,2.0,0.24897561119110925
3.0,1.0,3.0,2.0,2.0,0.16124347662671598
3.0,1.0,3.0,3.0,2.0,0.11412631298319705
3.0,1.0,3.0,4.0,2.0,0.08565772073969304
3.0,1.0,3.0,5.0,2.0,0.0691435195831784
3.0,1.0,3.0,6.0,2.0,0.061609720394592705
3.0,1.0,3.0,7.0,2.0,0.060083637148263126
3.0,1.0,3.0,8.0,2.0,0.062216172992628535
3.0,1.0,3.0,9.0,2.0,0.06597376499913886
3.0,1.0,3.0,10.0,2.0,0.07059744824737897
3.0,1.0,3.0,11.0,2.0,0.07571044017861611
3.0,1.0,3.0,12.0,2.0,0.08166573342692465
3.0,1.0,3.0,13.0,2.0,0.08820741326602072
3.0,1.0,3.0,14.0,2.0,0.0945717993641745
3.0,1.0,3.0,15.0,2.0,0.10027176720735921
1.0,1.0,3.0,1.0,3.0,0.24919969982394166
1.0,1.0,3.0,2.0,3.0,0.1775571813452812
1.0,1.0,3.0,3.0,3.0,0.1393246744203784
1.0,1.0,3.0,4.0,3.0,0.11514610870691092
1.0,1.0,3.0,5.0,3.0,0.09888246754705346
1.0,1.0,3.0,6.0,3.0,0.08777268513877264
1.0,1.0,3.0,7.0,3.0,0.08019739853237819
1.0,1.0,3.0,8.0,3.0,0.07518773957189895
1.0,1.0,3.0,9.0,3.0,0.07217916372113913
1.0,1.0,3.0,10.0,3.0,0.07040454177357974
1.0,1.0,3.0,11.0,3.0,0.0697613314836613
1.0,1.0,3.0,12.0,3.0,0.0696985612527641
1.0,1.0,3.0,13.0,3.0,0.07044589320900073
1.0,1.0,3.0,14.0,3.0,0.07131755178705357
1.0,1.0,3.0,15.0,3.0,0.07255414349989867
3.0,1.0,3.0,1.0,3.0,0.24919969982394166
3.0,1.0,3.0,2.0,3.0,0.1617136958326586
3.0,1.0,3.0,3.0,3.0,0.11482409721222799
3.0,1.0,3.0,4.0,3.0,0.08665000805033586
3.0,1.0,3.0,5.0,3.0,0.07045415962789892
3.0,1.0,3.0,6.0,3.0,0.06317988733285874
3.0,1.0,3.0,7.0,3.0,0.061877450804325794
3.0,1.0,3.0,8.0,3.0,0.06408130225043705
3.0,1.0,3.0,9.0,3.0,0.06779662516563732
3.0,1.0,3.0,10.0,3.0,0.0724642731178873
3.0,1.0,3.0,11.0,3.0,0.07763440556250918
3.0,1.0,3.0,12.0,3.0,0.08353414845473449
3.0,1.0,3.0,13.0,3.0,0.08999984437882438
3.0,1.0,3.0,14.0,3.0,0.09637053049194406
3.0,1.0,3.0,15.0,3.0,0.10193694693826638
1.0,1.0,3.0,1.0,4.0,0.24855837900242492
1.0,1.0,3.0,2.0,4.0,0.17593219107382288
1.0,1.0,3.0,3.0,4.0,0.13657531966115616
1.0,1.0,3.0,4.0,4.0,0.11138075321916374
1.0,1.0,3.0,5.0,4.0,0.09423452648398087
1.0,1.0,3.0,6.0,4.0,0.0823776570798509
1.0,1.0,3.0,7.0,4.0,0.07433970625781318
1.0,1.0,3.0,8.0,4.0,0.06913149174649366
1.0,1.0,3.0,9.0,4.0,0.06604523527426012
1.0,1.0,3.0,10.0,4.0,0.06457653455524186
1.0,1.0,3.0,11.0,4.0,0.0642787944864464
1.0,1.0,3.0,12.0,4.0,0.0648339968053156
1.0,1.0,3.0,13.0,4.0,0.06595052416184942
1.0,1.0,3.0,14.0,4.0,0.06750128577551957
1.0,1.0,3.0,15.0,4.0,0.0692409544946554
3.0,1.0,3.0,1.0,4.0,0.24855837900242492
3.0,1.0,3.0,2.0,4.0,0.16063404568267317
3.0,1.0,3.0,3.0,4.0,0.11326726961266012
3.0,1.0,3.0,4.0,4.0,0.08440744961439527
3.0,1.0,3.0,5.0,4.0,0.06720563636230094
3.0,1.0,3.0,6.0,4.0,0.05845622296419493
3.0,1.0,3.0,7.0,4.0,0.05581276984615768
3.0,1.0,3.0,8.0,4.0,0.0568005532512175
3.0,1.0,3.0,9.0,4.0,0.05959469579530646
3.0,1.0,3.0,10.0,4.0,0.06327334128181733
3.0,1.0,3.0,11.0,4.0,0.06771077168555464
3.0,1.0,3.0,12.0,4.0,0.07318898791251986
3.0,1.0,3.0,13.0,4.0,0.07949497440734765
3.0,1.0,3.0,14.0,4.0,0.08582531203614302
3.0,1.0,3.0,15.0,4.0,0.09151533094584718
1.0,1.0,3.0,1.0,5.0,0.24859547458160075
1.0,1.0,3.0,2.0,5.0,0.17597550860023803
1.0,1.0,3.0,3.0,5.0,0.1366117878615668
1.0,1.0,3.0,4.0,5.0,0.11143110917326025
1.0,1.0,3.0,5.0,5.0,0.09428959118367379
1.0,1.0,3.0,6.0,5.0,0.08243805330271636
1.0,1.0,3.0,7.0,5.0,0.07442981618905387
1.0,1.0,3.0,8.0,5.0,0.06923562031690943
1.0,1.0,3.0,9.0,5.0,0.06620078246456874
1.0,1.0,3.0,10.0,5.0,0.06471852540397664
1.0,1.0,3.0,11.0,5.0,0.064452147170824
1.0,1.0,3.0,12.0,5.0,0.06502201846747432
1.0,1.0,3.0,13.0,5.0,0.0661858165152435
1.0,1.0,3.0,14.0,5.0,0.06771916877186719
1.0,1.0,3.0,15.0,5.0,0.06954649281273971
3.0,1.0,3.0,1.0,5.0,0.24859547458160075
3.0,1.0,3.0,2.0,5.0,0.16078381778923453
3.0,1.0,3.0,3.0,5.0,0.11354078226846939
3.0,1.0,3.0,4.0,5.0,0.08488559051324024
3.0,1.0,3.0,5.0,5.0,0.06776769250161818
3.0,1.0,3.0,6.0,5.0,0.05918283333376504
3.0,1.0,3.0,7.0,5.0,0.056406177759677864
3.0,1.0,3.0,8.0,5.0,0.057325838034363114
3.0,1.0,3.0,9.0,5.0,0.05995418261811713
3.0,1.0,3.0,10.0,5.0,0.06349103254186858
3.0,1.0,3.0,11.0,5.0,0.06775548206839176
3.0,1.0,3.0,12.0,5.0,0.07305513396795028
3.0,1.0,3.0,13.0,5.0,0.0792320684341345
3.0,1.0,3.0,14.0,5.0,0.08546649119394713
3.0,1.0,3.0,15.0,5.0,0.09106813432320988
