"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"17",29,22,27,19,26,26,27,23,21,31,29,26,16,21,27,26,21,23,28,24,25,25,25,27,25,23,30,21,27,22,24,25,23,26,23
"18",25,23,26,19,32,26,26,23,27,23,27,29,21,27,23,25,24,26,23,20,26,24,21,22,27,28,26,28,25,24,23,25,20,24,22
"19",18,25,30,24,21,24,34,21,20,27,26,27,23,27,24,31,21,27,26,22,20,26,19,24,25,24,25,24,26,26,23,25,24,23,26
"20",23,24,21,23,27,19,25,32,26,30,21,28,24,22,28,26,21,22,26,22,25,22,21,26,25,29,25,27,26,26,27,25,22,25,25
"21",20,25,24,25,18,32,22,30,25,27,24,21,23,26,24,23,20,22,24,22,23,25,25,23,24,22,26,26,21,23,24,25,22,26,22
"22",23,29,30,18,28,22,22,27,23,30,22,21,27,28,33,23,27,26,26,23,27,29,23,24,24,24,26,27,27,29,23,26,23,25,24
"23",25,24,20,22,26,21,25,27,14,25,22,24,31,23,28,27,30,22,23,24,24,27,26,21,25,27,26,24,26,23,22,24,26,24,25
"24",19,23,22,31,25,18,23,19,28,24,20,21,25,24,28,22,23,23,21,24,26,22,26,24,22,22,21,26,24,28,22,24,25,29,22
"25",19,23,25,24,32,22,36,24,23,31,21,30,30,21,25,23,25,22,26,28,23,24,22,24,23,24,25,27,26,24,24,24,25,26,23
"26",21,27,25,25,27,18,21,25,26,27,23,29,22,27,26,22,28,25,26,23,28,27,24,21,25,23,25,25,22,20,25,24,23,28,25
"27",18,24,17,20,19,22,25,24,17,27,32,30,23,24,28,23,27,27,23,22,24,25,26,24,25,25,26,27,26,25,24,23,25,26,25
"28",37,16,17,31,18,31,25,28,18,22,28,31,26,24,27,21,23,23,23,19,26,23,20,22,27,28,24,25,24,28,24,25,24,23,23
"29",20,21,31,24,29,20,32,24,22,19,21,28,25,31,20,28,26,24,24,23,22,23,26,24,25,25,28,24,27,25,23,25,24,24,23
"30",20,25,27,23,25,34,17,24,27,25,23,27,28,31,19,22,22,21,24,27,25,26,27,25,24,26,24,28,23,28,26,24,23,24,25
"31",24,22,19,25,17,27,20,19,33,29,22,24,25,22,29,21,22,22,24,23,23,24,25,28,25,24,28,21,21,22,24,21,26,24,25
"32",27,23,21,28,23,21,35,29,28,24,25,24,20,21,24,27,21,25,22,27,22,22,26,30,28,28,25,22,26,25,24,25,24,24,26
"33",30,29,21,19,25,27,27,24,25,28,26,24,25,21,22,23,22,25,24,27,25,27,22,25,21,24,27,25,28,25,24,23,24,25,24
"34",31,22,23,25,21,31,22,19,24,32,30,23,24,21,22,32,21,25,23,29,22,26,30,24,24,23,24,21,21,22,26,25,26,21,25
"35",24,34,26,26,31,27,27,34,24,23,29,17,22,22,19,22,26,26,22,30,20,23,26,23,25,24,21,25,29,27,26,23,25,24,24
"36",25,32,25,25,20,30,23,26,28,21,25,28,29,27,21,24,26,28,22,28,28,29,26,21,24,25,30,22,23,24,27,22,21,24,21
"37",26,33,24,32,25,26,29,27,21,23,26,30,24,30,27,24,23,34,23,21,22,23,25,25,21,26,23,27,22,23,25,25,26,24,25
"38",21,27,19,33,19,28,20,20,25,20,24,20,27,22,24,23,23,26,28,24,23,25,29,25,25,24,23,27,27,25,27,22,27,22,24
"39",24,28,29,24,19,28,28,22,29,30,25,25,30,22,23,28,28,25,25,27,25,24,26,22,27,25,25,23,25,27,24,27,24,26,25
"40",29,29,19,21,32,29,32,26,23,29,25,25,33,25,26,26,24,23,26,22,24,26,28,25,23,25,24,21,24,29,25,26,26,24,21
"41",26,24,30,22,28,26,25,25,26,25,24,27,20,30,20,25,22,28,25,22,27,24,26,25,22,24,24,22,25,24,24,27,23,26,25
"42",26,23,28,22,19,19,25,23,27,28,21,25,24,28,20,26,21,26,29,20,26,25,22,25,26,22,26,23,27,27,25,25,26,25,25
"43",26,31,25,25,22,27,25,28,29,21,24,28,25,30,23,21,21,24,27,23,22,26,21,23,26,21,25,22,27,26,25,25,28,24,23
"44",29,28,22,21,25,26,20,26,26,27,26,32,27,22,22,27,22,27,25,23,23,25,29,23,27,26,24,27,27,21,25,26,24,24,23
"45",18,19,18,25,25,23,24,28,23,32,29,21,20,27,30,28,29,21,29,28,28,26,26,24,22,23,26,26,26,26,27,25,24,25,23
"46",18,26,22,21,26,25,28,27,21,20,23,19,26,25,22,22,23,21,24,23,25,22,28,23,26,24,23,21,25,26,24,24,22,27,25
"47",26,27,20,24,17,25,28,25,35,29,21,24,21,24,25,22,20,25,23,26,27,22,25,23,22,25,24,27,25,26,28,25,24,27,26
"48",29,19,22,20,28,25,26,25,17,20,26,32,25,23,18,27,29,23,20,20,23,24,23,24,27,24,20,23,27,28,25,25,24,24,26
"49",22,31,25,30,24,17,27,26,27,16,25,27,23,23,23,19,27,28,24,22,22,25,25,23,25,24,26,28,24,20,26,26,24,26,25
"50",25,32,23,25,19,30,30,28,21,28,19,25,20,31,23,27,29,22,22,21,27,24,23,25,25,22,25,21,28,27,21,23,22,24,24
"51",29,19,28,23,17,27,25,27,23,25,22,23,17,28,30,27,26,24,22,25,23,22,22,27,23,27,19,25,18,26,25,25,26,24,27
"52",28,20,22,29,32,24,22,26,26,19,25,22,32,21,21,28,21,29,26,23,21,26,25,25,21,30,24,29,26,28,22,27,25,23,24
"53",28,24,19,27,27,28,24,22,21,30,28,26,26,24,30,22,30,25,25,23,24,21,27,19,24,28,26,28,24,27,23,26,24,25,24
"54",22,22,24,27,19,19,28,24,25,18,22,30,28,21,19,25,26,22,26,25,21,25,23,25,24,25,22,21,24,24,20,26,25,25,27
"55",18,19,24,24,32,31,21,30,22,36,20,21,33,25,23,21,23,26,22,26,27,27,24,27,27,25,28,24,23,26,23,24,23,19,24
"56",29,26,24,26,37,32,27,32,18,25,18,27,25,29,24,25,28,28,28,26,23,20,26,26,22,24,26,29,25,28,25,24,25,25,24
"57",26,26,24,22,26,27,23,24,24,29,22,29,26,28,30,26,24,26,22,26,23,29,26,27,25,26,24,25,22,26,24,25,23,23,25
"58",33,32,25,24,28,21,19,25,27,35,19,28,25,28,25,22,21,21,24,26,26,25,30,24,22,26,28,25,26,24,27,26,23,25,25
"59",21,17,30,22,21,28,20,26,27,26,28,20,26,29,19,24,22,27,25,24,26,27,23,25,25,26,21,23,28,24,27,26,23,25,28
"60",27,22,30,22,26,22,27,27,29,24,22,26,29,21,23,28,25,22,21,19,26,23,28,23,27,23,19,22,25,23,24,24,24,25,24
"61",19,18,36,22,20,18,29,23,23,21,19,25,21,25,27,30,29,21,22,22,28,23,28,27,19,24,22,24,27,25,22,23,23,27,25
"62",26,29,21,27,22,26,34,23,24,21,24,27,25,21,29,29,26,18,24,21,23,24,24,26,28,28,26,24,28,25,24,25,23,25,25
"63",22,29,26,23,24,34,26,21,27,30,24,33,27,23,20,27,29,23,26,22,27,27,26,25,19,25,23,23,23,22,26,23,27,24,23
"64",15,24,24,18,26,32,32,27,23,27,27,27,28,23,23,25,26,26,24,23,24,28,24,25,23,23,20,28,22,22,25,29,22,25,28
"65",28,28,27,21,22,24,26,20,23,20,22,25,30,32,22,24,31,23,24,23,24,26,26,26,26,24,27,21,24,25,25,24,22,27,23
"66",22,26,19,19,19,31,30,29,15,27,28,26,27,24,19,25,20,24,28,24,27,26,28,27,22,26,23,27,21,25,24,24,22,23,25
"67",24,29,26,28,35,18,23,22,24,24,28,24,29,22,28,25,21,21,26,29,25,25,25,22,25,23,27,24,20,24,25,24,25,25,25
"68",23,28,20,25,24,23,30,27,21,34,30,24,24,30,28,23,22,22,23,32,23,25,26,25,24,25,21,28,24,21,25,24,24,26,22
"69",31,30,19,29,28,22,29,18,27,23,20,30,30,27,25,20,27,25,25,25,26,21,26,23,19,23,25,23,26,23,25,23,24,27,25
"70",25,23,14,23,28,26,33,22,24,21,25,31,30,18,27,20,25,24,27,30,26,26,26,24,27,24,27,23,28,23,25,23,25,25,26
"71",17,25,20,26,22,17,28,21,17,21,21,29,20,29,27,26,23,26,25,25,30,23,21,27,22,23,23,29,22,21,23,25,25,25,26
"72",19,33,25,26,29,29,26,29,36,28,25,26,20,26,21,25,27,20,20,25,23,25,22,27,26,23,25,25,25,22,24,25,23,24,28
"73",24,24,23,21,21,16,23,21,32,19,23,23,24,28,20,25,21,24,27,28,24,27,22,27,24,25,22,26,26,26,22,21,24,24,21
"74",26,17,23,33,22,22,30,26,32,29,23,36,29,21,27,23,23,26,24,26,22,25,21,24,27,20,23,26,28,26,24,26,23,26,24
"75",28,18,22,23,35,21,23,30,23,31,21,22,25,23,21,26,27,30,29,25,22,27,24,25,21,22,27,24,23,26,23,25,24,21,24
"76",30,24,19,23,27,23,27,20,29,25,25,29,23,28,23,26,24,24,20,23,24,25,20,25,26,24,24,26,27,25,24,27,26,26,25
"77",27,20,23,26,20,22,19,19,17,27,16,17,25,28,23,30,26,26,21,22,28,28,24,26,22,24,25,26,26,23,25,23,24,24,22
"78",22,29,27,24,24,25,19,30,22,25,24,22,27,23,22,24,25,25,24,24,24,25,24,28,23,28,19,23,26,29,23,24,25,24,26
"79",20,29,20,27,27,28,30,24,20,26,21,26,25,20,24,23,29,25,24,21,30,27,24,24,20,23,24,23,27,27,23,22,28,26,23
"80",35,24,22,27,26,29,21,23,18,22,21,28,23,25,22,25,22,20,22,20,21,22,28,25,20,27,24,23,21,23,26,29,25,24,25
"81",35,18,23,23,29,21,22,29,29,22,24,22,26,23,21,23,23,27,25,22,21,25,25,25,24,23,27,24,19,27,26,26,22,24,24
"82",19,19,28,29,29,29,24,29,17,25,32,26,27,25,30,25,23,23,26,28,25,24,24,23,24,26,25,22,24,24,24,24,24,26,27
"83",24,19,19,29,18,23,20,20,26,17,24,20,20,28,19,29,22,25,27,20,22,27,27,24,27,24,27,25,28,27,23,24,27,26,23
"84",29,26,16,18,28,21,25,25,29,31,26,25,21,23,24,18,28,30,20,27,22,23,23,22,24,25,22,27,25,27,26,25,24,26,25
"85",21,26,19,24,29,28,22,34,27,22,26,19,28,28,27,24,26,25,20,27,22,29,23,22,23,25,20,24,23,27,24,22,22,22,21
"86",28,22,24,32,28,26,24,24,22,24,20,22,28,31,21,23,20,25,28,24,23,25,23,23,27,22,25,25,24,25,22,29,22,26,24
"87",22,26,23,35,17,26,23,17,27,19,29,21,27,31,26,26,28,26,20,26,26,26,23,24,29,25,25,24,24,26,25,23,25,25,26
"88",20,24,17,26,33,24,26,28,27,23,25,24,26,33,20,27,29,27,24,26,26,23,28,22,24,24,23,24,23,26,27,23,23,24,23
"89",14,22,25,29,26,18,25,23,24,22,29,20,23,22,24,25,19,24,26,24,20,24,27,23,23,24,24,28,28,25,23,24,25,26,27
"90",29,27,25,29,24,28,22,28,29,22,31,23,22,20,21,23,23,26,24,24,28,25,21,23,27,25,24,24,24,24,22,24,24,25,25
"91",24,20,19,15,25,27,22,19,23,28,23,24,26,22,28,29,26,24,28,25,22,26,25,29,26,22,19,27,24,28,26,25,24,24,24
"92",25,27,16,26,21,22,30,24,23,24,24,32,23,27,24,26,29,23,26,24,23,24,26,24,26,27,28,28,24,26,22,26,24,24,23
"93",23,37,27,22,21,24,21,29,23,27,25,28,24,28,29,25,22,27,25,24,24,22,20,25,29,23,24,24,25,26,23,24,25,22,24
"94",20,15,26,16,32,20,29,32,28,22,30,23,25,26,26,22,27,23,23,24,27,23,26,25,26,23,23,25,26,26,25,26,24,25,24
"95",23,23,23,26,19,21,27,33,27,24,31,26,28,22,23,24,27,23,22,29,26,24,27,27,25,25,23,19,24,20,24,25,22,25,22
"96",25,26,25,22,30,24,22,25,24,21,25,26,23,28,23,26,23,26,24,26,23,17,23,24,19,22,22,23,19,20,24,21,24,23,23
"97",19,28,19,22,30,29,28,26,18,27,25,31,27,25,33,27,23,26,26,24,26,25,23,24,29,25,25,26,21,25,25,26,24,21,22
"98",34,26,24,29,25,30,31,26,25,30,31,25,12,25,26,23,22,23,19,28,23,27,23,27,25,26,26,26,24,26,27,25,24,27,23
"99",35,36,19,25,23,20,24,24,23,32,26,24,27,22,23,27,23,28,25,25,25,29,20,25,25,26,27,20,27,23,25,26,23,23,25
"100",35,29,25,24,25,18,26,17,28,25,21,24,23,26,29,30,22,27,25,27,20,27,25,22,24,24,23,20,25,25,26,24,24,23,24
"101",16,24,23,33,23,27,29,27,32,18,29,19,23,28,21,27,27,23,23,22,24,23,24,25,21,26,27,28,23,22,22,23,24,27,25
"102",21,31,32,26,21,24,23,27,27,25,24,26,25,21,26,20,26,24,28,23,23,22,28,25,24,22,23,25,24,24,27,26,22,27,25
"103",19,26,27,21,27,23,23,32,20,28,25,24,26,22,21,21,31,28,28,23,23,28,23,29,19,22,26,27,25,21,28,25,26,28,23
"104",25,21,21,23,33,23,24,26,25,36,29,27,28,21,27,21,25,18,25,24,28,26,21,25,27,24,24,23,24,26,25,25,25,21,24
"105",23,15,25,27,25,24,22,28,21,22,29,25,28,24,28,20,20,20,25,26,21,23,23,25,28,23,23,27,22,19,24,23,23,27,26
"106",24,25,19,22,22,27,29,23,25,23,28,25,30,23,25,26,30,23,26,30,23,25,21,27,23,26,25,25,23,29,25,25,27,25,24
"107",25,19,19,17,26,23,24,24,29,20,30,23,25,25,22,21,24,24,19,27,28,22,24,26,27,25,25,28,27,25,25,25,25,25,26
"108",29,23,21,22,30,24,25,20,25,24,23,22,23,23,23,20,26,23,23,27,24,20,25,27,27,27,23,25,20,26,25,28,22,23,24
"109",19,23,20,26,19,32,27,25,18,20,27,29,21,24,26,26,25,27,27,21,24,26,25,28,27,21,23,26,26,25,25,24,23,24,24
"110",28,24,23,26,26,25,21,29,28,21,25,18,20,21,22,28,24,27,28,29,22,27,23,23,22,26,27,28,20,23,25,24,24,26,24
"111",20,18,33,26,18,26,30,22,23,25,29,27,31,27,21,31,24,28,26,22,24,24,28,24,24,22,21,23,25,24,25,26,22,26,24
"112",23,18,32,21,31,31,24,23,33,31,19,25,19,22,26,23,24,25,26,20,28,31,22,24,25,23,26,23,23,24,23,27,24,26,24
"113",23,26,29,19,24,29,25,24,28,26,30,24,33,24,19,25,28,28,27,25,23,29,24,23,26,22,26,26,26,24,24,24,23,24,26
"114",27,24,24,28,29,30,28,19,25,16,18,20,22,22,27,24,26,20,24,24,25,26,26,23,22,25,26,23,23,25,23,25,29,23,24
"115",28,23,23,28,26,27,25,21,24,26,27,28,29,27,20,27,27,25,25,23,22,25,24,24,23,27,25,24,22,22,24,23,24,23,23
"116",27,21,29,20,30,26,24,25,28,24,26,28,24,23,26,25,23,23,22,24,18,26,26,25,21,25,24,27,24,22,26,22,26,22,22
"117",22,25,26,34,30,23,25,29,23,23,26,23,23,26,27,25,20,21,23,27,25,32,26,25,26,20,28,24,23,25,27,23,24,25,23
"118",26,23,26,29,26,25,23,26,25,20,24,25,36,25,24,22,17,29,27,21,22,22,23,30,26,25,30,25,23,19,28,23,25,26,28
"119",28,23,26,20,30,27,25,25,25,20,24,20,22,26,33,24,28,22,25,26,26,24,29,25,25,25,29,25,24,24,27,27,25,24,27
"120",21,20,21,28,23,24,27,16,21,25,22,23,25,23,21,21,28,21,28,22,31,23,19,25,27,24,26,27,23,24,26,27,23,25,23
"121",20,24,29,28,28,24,25,28,24,24,26,24,27,29,33,22,26,23,26,26,28,25,23,22,25,22,21,24,25,26,24,23,24,23,25
"122",20,26,20,26,27,27,23,17,27,33,28,33,29,22,22,22,26,26,21,24,24,24,23,24,20,24,23,23,25,26,25,24,28,24,23
"123",24,21,35,21,24,24,28,16,28,29,29,25,32,27,24,24,23,26,28,28,25,19,24,26,22,25,27,30,23,26,21,28,24,23,26
"124",28,27,26,22,26,22,28,27,28,30,26,25,27,23,17,25,23,18,25,22,26,22,24,23,23,27,23,24,26,24,25,26,26,24,26
"125",31,33,23,32,22,31,29,28,25,25,17,26,25,24,33,26,21,23,26,20,29,25,24,22,25,22,23,26,26,26,24,22,24,25,27
"126",23,22,25,29,26,25,31,25,31,28,22,24,24,19,25,23,25,25,24,29,25,21,22,24,26,26,26,24,20,24,24,27,24,24,24
"127",31,23,27,27,23,19,28,29,26,22,21,23,32,22,18,23,27,22,18,22,26,22,23,28,25,22,24,26,24,26,26,28,24,25,23
"128",30,21,22,31,27,25,28,25,26,26,26,25,31,19,28,25,31,25,23,24,22,25,20,25,29,24,23,26,21,25,24,23,24,23,24
"129",26,24,25,21,28,29,24,20,28,26,21,24,22,23,24,24,22,26,25,28,29,23,22,25,27,26,25,24,22,28,23,26,23,24,22
"130",26,16,20,35,23,21,24,26,25,24,29,21,14,27,23,28,22,28,32,22,26,22,25,26,21,24,22,27,22,25,26,25,25,24,21
"131",33,27,22,22,21,28,26,30,21,22,22,25,32,17,22,25,27,25,22,24,27,22,22,29,26,22,24,23,22,26,24,22,25,27,26
"132",31,30,26,19,28,25,21,21,26,29,29,29,22,20,25,23,24,27,18,32,28,28,22,25,26,24,25,25,27,23,23,23,24,24,22
"133",26,25,29,26,27,23,22,23,34,23,27,24,27,24,29,23,25,26,30,32,22,22,20,26,30,27,26,22,25,22,26,25,23,23,24
"134",22,26,26,26,24,19,30,27,25,27,23,29,27,23,28,21,26,26,26,19,23,23,21,24,26,25,26,21,23,25,22,25,27,25,25
"135",25,18,31,18,28,22,24,31,29,29,25,29,25,23,27,28,24,21,25,26,25,26,24,27,22,25,19,26,30,22,25,25,23,23,24
"136",28,22,29,23,28,26,25,19,22,26,32,26,28,17,22,21,25,26,28,23,25,26,21,26,27,24,25,27,28,23,25,24,25,25,26
"137",19,28,22,30,19,24,24,24,31,26,27,21,22,24,22,25,20,20,22,21,22,28,21,21,24,23,25,23,21,23,22,23,23,26,22
"138",27,35,31,29,22,25,30,30,22,32,26,26,31,21,27,28,25,26,27,29,25,25,26,26,21,26,22,25,22,27,23,26,24,22,25
"139",28,22,26,19,27,31,33,28,26,31,26,26,27,25,23,23,25,24,21,27,26,27,25,23,22,28,23,27,28,27,27,27,24,23,27
"140",26,25,32,32,19,38,24,27,31,20,21,30,21,29,26,24,26,21,23,27,24,22,25,27,27,25,29,27,27,21,25,27,24,24,25
"141",40,24,23,27,23,22,22,26,29,27,22,15,19,25,29,30,21,23,24,27,29,23,25,22,22,24,23,23,27,28,25,26,23,25,25
"142",33,33,25,22,18,26,28,24,26,22,24,26,27,29,22,26,24,23,24,24,24,26,26,25,22,26,26,28,24,24,23,23,24,26,24
"143",22,21,25,28,33,25,27,23,16,20,20,24,21,31,21,25,23,24,25,25,24,24,26,22,26,25,29,25,27,28,26,23,25,23,25
"144",26,20,33,21,31,23,27,27,16,31,22,29,29,24,25,24,23,22,28,24,26,23,21,26,26,22,25,28,22,24,28,24,23,27,25
"145",23,28,29,26,23,26,18,24,23,23,25,25,29,21,24,29,21,24,22,22,28,21,20,23,28,23,22,21,23,22,24,23,23,25,24
"146",23,20,24,27,25,29,29,24,35,19,30,19,29,27,33,29,20,24,25,19,24,22,26,25,26,22,20,26,26,27,23,26,26,21,27
"147",20,21,26,28,35,24,24,27,28,38,28,24,25,23,28,24,24,23,24,26,26,26,23,24,23,25,24,25,25,23,25,25,27,22,22
"148",25,24,28,25,26,26,25,27,27,34,27,20,21,28,26,21,22,28,23,28,25,23,29,29,27,23,27,25,24,22,28,26,29,23,26
"149",24,29,26,21,21,26,22,22,24,24,26,22,28,28,23,25,21,26,28,23,22,22,25,28,27,25,24,23,27,23,25,23,23,23,25
"150",20,24,28,25,28,28,26,20,16,24,28,25,25,25,28,27,22,25,24,21,27,28,25,22,28,24,25,25,24,25,23,27,26,23,24
"151",26,17,22,15,25,10,25,15,23,23,20,34,29,29,26,22,21,24,25,23,23,23,23,25,21,26,27,29,29,27,23,24,24,23,22
"152",16,19,26,37,26,20,31,24,27,24,22,24,30,33,28,28,25,29,25,21,26,24,26,23,27,23,22,23,22,22,25,26,23,23,22
"153",22,29,29,21,27,22,27,22,36,26,32,22,28,17,29,26,26,25,23,27,23,28,22,24,22,27,27,25,29,24,24,28,25,23,22
"154",23,21,29,25,31,28,20,25,24,34,23,26,23,25,21,22,27,25,21,25,21,26,24,24,22,24,23,26,26,24,22,26,26,22,28
"155",29,20,18,27,31,20,27,28,21,30,18,22,32,22,15,26,30,26,25,23,22,26,27,22,25,23,26,23,28,22,26,25,24,25,22
"156",25,18,24,21,27,29,29,29,23,23,18,23,28,21,27,23,22,25,26,22,25,26,24,24,25,29,22,26,21,24,25,26,23,25,29
"157",20,27,19,20,24,30,26,27,24,27,20,27,27,24,26,28,27,26,26,30,22,22,27,27,27,28,20,27,23,25,23,22,25,24,26
"158",18,25,26,18,22,23,23,25,23,27,25,24,24,29,30,25,27,27,27,19,22,21,21,26,23,23,27,25,24,26,24,22,26,24,23
"159",19,28,27,27,20,25,23,23,25,24,27,21,24,24,24,24,23,27,25,25,26,28,27,24,21,28,24,28,29,29,24,23,24,27,23
"160",30,26,23,20,21,25,25,36,31,17,25,26,18,28,27,27,24,21,21,21,26,25,21,31,25,28,27,27,21,24,23,26,26,24,25
"161",26,24,13,23,26,30,25,24,20,29,25,25,19,19,25,24,23,25,26,27,26,25,22,23,26,25,28,22,24,26,26,26,22,24,26
"162",27,26,34,30,30,35,24,21,25,22,23,27,16,19,18,26,25,26,25,24,23,22,25,24,31,26,21,27,28,24,25,27,26,25,22
"163",15,23,18,24,25,25,20,19,25,21,29,28,28,31,24,24,28,26,24,25,28,24,22,29,25,26,25,23,26,21,25,25,26,25,25
"164",28,24,31,33,20,21,27,35,30,26,18,26,30,24,20,24,23,21,25,24,31,23,27,27,22,20,23,27,28,30,25,26,22,27,23
"165",15,25,23,19,27,23,30,21,19,29,24,22,26,24,27,30,24,28,28,22,27,26,25,31,30,27,25,25,26,23,25,24,25,22,27
"166",27,35,16,28,28,34,31,26,20,26,26,24,23,25,25,21,23,21,25,21,22,26,26,23,30,22,23,32,26,24,23,23,23,26,27
"167",24,29,30,17,25,33,26,25,33,31,27,30,20,25,24,22,21,23,21,25,26,27,21,22,26,23,30,22,27,27,25,25,25,21,25
"168",19,26,26,32,20,23,23,21,27,27,23,26,28,27,26,23,20,25,22,26,24,23,28,28,23,23,22,28,26,28,23,24,25,26,23
"169",17,26,27,32,16,31,23,29,29,20,32,27,24,22,24,23,26,20,21,24,21,24,23,24,25,23,24,29,25,25,25,24,27,25,22
"170",27,38,21,20,19,21,22,28,34,18,30,28,23,22,25,22,20,25,21,24,26,26,25,23,23,28,24,26,25,25,25,25,25,23,25
"171",29,32,20,23,30,26,25,23,25,23,23,32,26,24,26,25,25,29,25,28,22,27,23,24,24,22,26,27,25,22,27,27,28,26,24
"172",23,23,34,29,33,25,31,18,25,29,20,28,24,24,32,26,22,22,22,25,25,26,26,23,22,23,24,22,25,21,25,25,27,26,25
"173",29,26,26,27,19,22,29,27,27,24,26,23,31,24,26,25,24,26,28,22,26,24,29,23,26,23,23,24,23,26,28,26,26,25,20
"174",31,21,26,27,25,26,21,27,24,19,25,25,22,23,30,25,25,22,27,24,30,22,26,23,24,20,22,22,22,25,26,22,25,24,22
"175",23,33,26,16,20,24,32,18,22,24,28,20,29,30,26,24,26,26,26,19,25,25,29,29,22,24,22,25,26,23,25,22,27,27,25
"176",28,23,26,20,28,27,30,27,24,22,25,33,19,22,29,24,24,22,26,28,27,23,27,27,28,28,23,22,26,26,25,24,23,27,27
"177",12,30,32,27,26,30,29,25,21,18,23,20,17,28,26,24,22,22,27,32,23,26,26,30,25,23,28,23,24,25,26,27,24,22,24
"178",29,17,28,20,26,22,32,23,30,27,23,24,17,18,25,29,22,24,25,28,24,27,24,27,23,22,25,21,23,25,26,25,25,23,25
"179",30,25,19,29,31,29,30,18,22,35,22,25,22,22,24,21,23,26,24,23,22,26,26,22,25,22,24,27,24,23,24,25,23,26,23
"180",26,32,31,24,31,30,19,20,20,34,27,19,24,24,26,22,30,25,30,24,25,19,23,27,25,24,24,25,28,23,24,26,26,29,22
"181",23,19,28,21,26,26,22,28,32,28,34,26,23,25,25,28,27,26,31,25,21,24,26,25,30,22,21,27,21,21,24,24,27,26,26
"182",19,31,23,26,27,25,28,29,31,28,23,22,26,26,27,24,24,25,25,25,26,26,23,28,25,24,27,22,23,28,26,24,26,24,26
"183",29,23,27,24,31,20,26,20,23,24,19,32,31,20,21,20,22,23,23,27,29,24,23,20,24,27,25,24,20,25,24,26,26,27,25
"184",21,28,19,26,24,30,32,24,32,23,24,18,26,33,17,22,29,23,22,25,26,22,21,22,24,27,24,24,23,30,25,25,24,25,27
"185",26,23,24,34,23,24,26,22,28,21,29,30,25,24,18,27,29,28,20,20,30,27,26,33,25,25,23,25,23,27,20,24,26,22,25
"186",29,18,17,29,27,19,21,19,29,29,28,23,20,27,27,24,26,25,24,19,22,28,23,24,23,27,26,26,20,20,24,22,23,25,27
"187",23,25,32,26,26,22,23,26,20,27,21,27,28,28,26,21,21,32,28,28,24,29,21,21,23,23,28,26,23,22,22,25,24,25,25
"188",25,21,29,25,23,25,20,19,27,31,18,20,32,25,24,29,20,26,25,29,28,25,25,23,24,19,24,22,23,24,26,27,25,23,24
