project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
TCGA-CESC	c92696ba-f549-480d-8d4a-5f23b27aa336	TCGA-C5-A907	b5495329-a954-4bee-ae9c-9bc909acd1c1	TCGA-C5-A907-01A	5bbd5ffe-fd71-4d4d-a3fe-407935aca829	TCGA-C5-A907-01A-11	d11ff77b-9523-4c20-8c8e-5417dece1fb5	TCGA-C5-A907-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	ce887e90-0660-4f44-a3a4-b3b894cb7eda	TCGA-C8-A275	17f2ecdd-59bb-4251-a1b3-2e0a461ea070	TCGA-C8-A275-01A	28dc8e18-d591-44ee-ae55-d5a4e0fdc3f0	TCGA-C8-A275-01A-21	1fa21c2e-6138-41d8-b1b6-e6d72b2f1dfa	TCGA-C8-A275-01A-21W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	ce887e90-0660-4f44-a3a4-b3b894cb7eda	TCGA-C8-A275	17f2ecdd-59bb-4251-a1b3-2e0a461ea070	TCGA-C8-A275-01A	28dc8e18-d591-44ee-ae55-d5a4e0fdc3f0	TCGA-C8-A275-01A-21	25dabc4b-2e32-4c38-be9b-175809516671	TCGA-C8-A275-01A-21D	1.73	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	ce887e90-0660-4f44-a3a4-b3b894cb7eda	TCGA-C8-A275	17f2ecdd-59bb-4251-a1b3-2e0a461ea070	TCGA-C8-A275-01A	28dc8e18-d591-44ee-ae55-d5a4e0fdc3f0	TCGA-C8-A275-01A-21	eb07ed37-8dc5-4c75-b43b-db29d8abc68c	TCGA-C8-A275-01A-21R	2.06	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.5	9.5	UV Spec	released	'--
TCGA-BRCA	ce887e90-0660-4f44-a3a4-b3b894cb7eda	TCGA-C8-A275	d1368d8c-e67f-4b41-8823-863fb8ec1bbf	TCGA-C8-A275-10A	5b12e665-9714-45e6-adfd-1a968eb55069	TCGA-C8-A275-10A-01	7e6ae0b3-c64c-4882-be3d-1db01d8aa7c1	TCGA-C8-A275-10A-01D	2.02	'--	'--	DNA	D	'--	0.18	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	ce887e90-0660-4f44-a3a4-b3b894cb7eda	TCGA-C8-A275	d1368d8c-e67f-4b41-8823-863fb8ec1bbf	TCGA-C8-A275-10A	5b12e665-9714-45e6-adfd-1a968eb55069	TCGA-C8-A275-10A-01	c24e8a01-c54f-4674-b59d-971683664a99	TCGA-C8-A275-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-UVM	39af6e0f-908c-4b2b-97b8-a4d1966e47e1	TCGA-VD-A8KH	98a73f7b-83c7-4160-944e-7a19b07ad696	TCGA-VD-A8KH-01A	a726d28f-454c-4f3d-afe8-f9ab59c93172	TCGA-VD-A8KH-01A-11	1598083e-43cc-4253-bbab-a6c95328449e	TCGA-VD-A8KH-01A-11R	1.89	'--	'--	RNA	R	'--	0.18	nRNA - Melanoma Protocol	Yes	1.55	8.6	UV Spec	released	'--
TCGA-UVM	39af6e0f-908c-4b2b-97b8-a4d1966e47e1	TCGA-VD-A8KH	98a73f7b-83c7-4160-944e-7a19b07ad696	TCGA-VD-A8KH-01A	a726d28f-454c-4f3d-afe8-f9ab59c93172	TCGA-VD-A8KH-01A-11	96798885-a334-4665-9f52-7fadaedc0223	TCGA-VD-A8KH-01A-11D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-UVM	39af6e0f-908c-4b2b-97b8-a4d1966e47e1	TCGA-VD-A8KH	cd8ef3dd-f50a-42b3-9d28-355728f2dedc	TCGA-VD-A8KH-10A	b296fdaa-407b-408d-8fd3-812b9cfeb8e8	TCGA-VD-A8KH-10A-01	fbfe5934-e3f8-483b-b76a-cda7f7bd0e9e	TCGA-VD-A8KH-10A-01D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-UCS	82c37e7c-0899-497e-9753-84da21f8e0fe	TCGA-NG-A4VW	2cfce347-12d0-4097-b0e2-05f5e1274775	TCGA-NG-A4VW-10A	dfdf8e50-569a-49a6-aaaf-f2bb64807edf	TCGA-NG-A4VW-10A-01	170e61f1-4882-42af-b931-b7512b7ae779	TCGA-NG-A4VW-10A-01D	'--	'--	'--	DNA	D	'--	0.16	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-UCS	82c37e7c-0899-497e-9753-84da21f8e0fe	TCGA-NG-A4VW	2cfce347-12d0-4097-b0e2-05f5e1274775	TCGA-NG-A4VW-10A	dfdf8e50-569a-49a6-aaaf-f2bb64807edf	TCGA-NG-A4VW-10A-01	ed0bc433-df05-443b-adbf-15a17ffea1ef	TCGA-NG-A4VW-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	'--	'--	'--	'--	'--	released	'--
TCGA-UCS	82c37e7c-0899-497e-9753-84da21f8e0fe	TCGA-NG-A4VW	c0132fcf-d345-46ea-b72f-528addcfa824	TCGA-NG-A4VW-01A	08192fb6-200a-45c9-8d9e-2aec5a70557f	TCGA-NG-A4VW-01A-11	a4ef12b3-328f-4f1d-8b28-6c3f744fbe4b	TCGA-NG-A4VW-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	'--	'--	'--	'--	'--	released	'--
TCGA-UCS	82c37e7c-0899-497e-9753-84da21f8e0fe	TCGA-NG-A4VW	c0132fcf-d345-46ea-b72f-528addcfa824	TCGA-NG-A4VW-01A	08192fb6-200a-45c9-8d9e-2aec5a70557f	TCGA-NG-A4VW-01A-11	e1837ae3-1537-4b89-a886-6d63f8cd6568	TCGA-NG-A4VW-01A-11R	1.86	'--	'--	RNA	R	'--	0.18	'--	'--	'--	'--	UV Spec	released	'--
TCGA-UCS	82c37e7c-0899-497e-9753-84da21f8e0fe	TCGA-NG-A4VW	c0132fcf-d345-46ea-b72f-528addcfa824	TCGA-NG-A4VW-01A	08192fb6-200a-45c9-8d9e-2aec5a70557f	TCGA-NG-A4VW-01A-11	f843061a-b23a-4a19-a3bc-e55e1ec8fb0a	TCGA-NG-A4VW-01A-11D	'--	'--	'--	DNA	D	'--	0.15	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-BRCA	dd96a9c7-899c-47cd-a0f9-b149ed07a5d6	TCGA-D8-A1JB	2075e0b1-2575-4168-b772-c88d1101aaee	TCGA-D8-A1JB-10A	2d8bdff1-81b8-4a3a-968a-59d8328eafaf	TCGA-D8-A1JB-10A-01	94b86e59-216e-45d8-a785-51583f946fc2	TCGA-D8-A1JB-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	dd96a9c7-899c-47cd-a0f9-b149ed07a5d6	TCGA-D8-A1JB	2075e0b1-2575-4168-b772-c88d1101aaee	TCGA-D8-A1JB-10A	2d8bdff1-81b8-4a3a-968a-59d8328eafaf	TCGA-D8-A1JB-10A-01	d80eb6f7-f41f-45d2-a8de-2d334c5f8650	TCGA-D8-A1JB-10A-01D	1.76	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	dd96a9c7-899c-47cd-a0f9-b149ed07a5d6	TCGA-D8-A1JB	940d64bd-8c96-476f-84f9-678d1ed3500f	TCGA-D8-A1JB-01A	119c37a8-bb9a-4726-99f6-5bf378973a2e	TCGA-D8-A1JB-01A-11	33c34682-7a05-41c6-9b8a-afb7c36b3d63	TCGA-D8-A1JB-01A-11R	1.67	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.8	8.8	UV Spec	released	'--
TCGA-BRCA	dd96a9c7-899c-47cd-a0f9-b149ed07a5d6	TCGA-D8-A1JB	940d64bd-8c96-476f-84f9-678d1ed3500f	TCGA-D8-A1JB-01A	119c37a8-bb9a-4726-99f6-5bf378973a2e	TCGA-D8-A1JB-01A-11	a41f6462-8a93-4ce1-8f47-32984cce78d2	TCGA-D8-A1JB-01A-11D	1.89	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	dd96a9c7-899c-47cd-a0f9-b149ed07a5d6	TCGA-D8-A1JB	940d64bd-8c96-476f-84f9-678d1ed3500f	TCGA-D8-A1JB-01A	119c37a8-bb9a-4726-99f6-5bf378973a2e	TCGA-D8-A1JB-01A-11	f6aa6c1b-edd8-48af-8a5d-d549ff88e573	TCGA-D8-A1JB-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	0d03055c-186b-418a-b614-e2035757bc3b	TCGA-D8-A1JS	3e1ee95c-87b6-43c7-bb91-5c92b0a008b5	TCGA-D8-A1JS-10A	511b53e4-5c7b-4fd9-bf3a-1695c820be4d	TCGA-D8-A1JS-10A-01	04ad9995-3804-4d90-9af9-c31179142b8c	TCGA-D8-A1JS-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	0d03055c-186b-418a-b614-e2035757bc3b	TCGA-D8-A1JS	3e1ee95c-87b6-43c7-bb91-5c92b0a008b5	TCGA-D8-A1JS-10A	511b53e4-5c7b-4fd9-bf3a-1695c820be4d	TCGA-D8-A1JS-10A-01	1ddadf52-b3b4-4164-bb30-585737424478	TCGA-D8-A1JS-10A-01D	1.78	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	0d03055c-186b-418a-b614-e2035757bc3b	TCGA-D8-A1JS	aa5103b4-c25d-4ca4-847b-a1ece4c14aff	TCGA-D8-A1JS-01A	8cfe86ac-63f6-4a78-b221-6cc8fcd5291b	TCGA-D8-A1JS-01A-11	289b836f-4c8e-4e9f-baa3-c70f349c6205	TCGA-D8-A1JS-01A-11D	1.85	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	0d03055c-186b-418a-b614-e2035757bc3b	TCGA-D8-A1JS	aa5103b4-c25d-4ca4-847b-a1ece4c14aff	TCGA-D8-A1JS-01A	8cfe86ac-63f6-4a78-b221-6cc8fcd5291b	TCGA-D8-A1JS-01A-11	6d9797e9-6b2a-40f8-ba91-6be1830f9494	TCGA-D8-A1JS-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	0d03055c-186b-418a-b614-e2035757bc3b	TCGA-D8-A1JS	aa5103b4-c25d-4ca4-847b-a1ece4c14aff	TCGA-D8-A1JS-01A	8cfe86ac-63f6-4a78-b221-6cc8fcd5291b	TCGA-D8-A1JS-01A-11	ba1f29ea-07d5-457e-9674-33118e8ae778	TCGA-D8-A1JS-01A-11R	1.81	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	2.1	7.1	UV Spec	released	'--
TCGA-BRCA	491d5ebb-e9ab-4b17-acb8-630ff9fef0f2	TCGA-AR-A24X	a00cc4fb-6852-4869-89a7-f9f2fc941ccc	TCGA-AR-A24X-01A	5ed06d85-0ddc-4c40-9861-87eb190d09d6	TCGA-AR-A24X-01A-11	256908ec-19e9-43ec-a074-82e24444c590	TCGA-AR-A24X-01A-11R	1.74	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.7	9.4	UV Spec	released	'--
TCGA-BRCA	491d5ebb-e9ab-4b17-acb8-630ff9fef0f2	TCGA-AR-A24X	a00cc4fb-6852-4869-89a7-f9f2fc941ccc	TCGA-AR-A24X-01A	5ed06d85-0ddc-4c40-9861-87eb190d09d6	TCGA-AR-A24X-01A-11	85efa27b-5219-402c-9704-055d5c11db1e	TCGA-AR-A24X-01A-11D	2.0	'--	'--	DNA	D	'--	0.18	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	491d5ebb-e9ab-4b17-acb8-630ff9fef0f2	TCGA-AR-A24X	a00cc4fb-6852-4869-89a7-f9f2fc941ccc	TCGA-AR-A24X-01A	5ed06d85-0ddc-4c40-9861-87eb190d09d6	TCGA-AR-A24X-01A-11	8a2b289f-a909-4e1c-b118-77479747e9fc	TCGA-AR-A24X-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	491d5ebb-e9ab-4b17-acb8-630ff9fef0f2	TCGA-AR-A24X	d82762f5-80ad-4af2-91e5-568024e101a9	TCGA-AR-A24X-10A	6c4eb871-b812-4f17-af92-e3e828c9579b	TCGA-AR-A24X-10A-01	4bd2774b-93a4-4fd4-bdc4-7491243ea6bf	TCGA-AR-A24X-10A-01D	1.82	'--	'--	DNA	D	'--	0.18	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	491d5ebb-e9ab-4b17-acb8-630ff9fef0f2	TCGA-AR-A24X	d82762f5-80ad-4af2-91e5-568024e101a9	TCGA-AR-A24X-10A	6c4eb871-b812-4f17-af92-e3e828c9579b	TCGA-AR-A24X-10A-01	9e40ee5d-f241-42d7-9f17-b5cea7a9f134	TCGA-AR-A24X-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-UVM	9e35ef82-55b0-460b-8ab9-8cd708efa3b1	TCGA-VD-AA8T	0fd5fe1f-4d9d-4de0-9cb6-0356698d4425	TCGA-VD-AA8T-01A	474e1bfd-704a-407a-9016-c28a1f829a9f	TCGA-VD-AA8T-01A-11	786e9d8c-7622-4807-8ea8-203dec5a46ee	TCGA-VD-AA8T-01A-11R	1.83	'--	'--	RNA	R	'--	0.17	nRNA - Melanoma Protocol	Yes	1.28	7.8	UV Spec	released	'--
TCGA-UVM	9e35ef82-55b0-460b-8ab9-8cd708efa3b1	TCGA-VD-AA8T	0fd5fe1f-4d9d-4de0-9cb6-0356698d4425	TCGA-VD-AA8T-01A	474e1bfd-704a-407a-9016-c28a1f829a9f	TCGA-VD-AA8T-01A-11	a7a844b7-5b33-46c2-a939-712c36aae7e3	TCGA-VD-AA8T-01A-11D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-UVM	9e35ef82-55b0-460b-8ab9-8cd708efa3b1	TCGA-VD-AA8T	fed27d3a-eded-48c4-893c-6e3ce26c0934	TCGA-VD-AA8T-10A	4453fa53-ec16-4ebb-b53c-7e78b79f2b5c	TCGA-VD-AA8T-10A-01	5313413d-1c5a-4d73-a700-fe08bbb67018	TCGA-VD-AA8T-10A-01D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-BRCA	d3d545b3-457f-4389-821f-704cb24aff7f	TCGA-AR-A256	87676c70-e2ad-4103-8bc0-3d3c1e40a790	TCGA-AR-A256-01A	802f437d-5031-4d2b-9d1e-47163470a9d5	TCGA-AR-A256-01A-11	b6f85d5a-dbda-4756-b152-fd324934a238	TCGA-AR-A256-01A-11R	1.84	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.5	9.0	UV Spec	released	'--
TCGA-BRCA	d3d545b3-457f-4389-821f-704cb24aff7f	TCGA-AR-A256	87676c70-e2ad-4103-8bc0-3d3c1e40a790	TCGA-AR-A256-01A	802f437d-5031-4d2b-9d1e-47163470a9d5	TCGA-AR-A256-01A-11	de43289a-2c5f-4117-a521-83357b334f4a	TCGA-AR-A256-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	d3d545b3-457f-4389-821f-704cb24aff7f	TCGA-AR-A256	87676c70-e2ad-4103-8bc0-3d3c1e40a790	TCGA-AR-A256-01A	802f437d-5031-4d2b-9d1e-47163470a9d5	TCGA-AR-A256-01A-11	e6fbdf7b-7a76-4562-9f63-c7bbe0623288	TCGA-AR-A256-01A-11D	1.95	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	d3d545b3-457f-4389-821f-704cb24aff7f	TCGA-AR-A256	dec1a314-b7f4-4f86-83cb-a40e0b0994a2	TCGA-AR-A256-10A	a511ccee-dbd2-4755-9b14-e838eddc669a	TCGA-AR-A256-10A-01	a66f50d8-a9b6-439a-866e-20b43254c790	TCGA-AR-A256-10A-01D	2.0	'--	'--	DNA	D	'--	0.18	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	d3d545b3-457f-4389-821f-704cb24aff7f	TCGA-AR-A256	dec1a314-b7f4-4f86-83cb-a40e0b0994a2	TCGA-AR-A256-10A	a511ccee-dbd2-4755-9b14-e838eddc669a	TCGA-AR-A256-10A-01	acdeedf8-58ee-4fa9-b128-3523b03c78e4	TCGA-AR-A256-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	271e8024-a008-4bf0-9f6e-177f60096b1b	TCGA-E2-A15G	000002fc-53a0-420e-b2aa-a40a358bba37	TCGA-E2-A15G-10A	8b6f0a4c-bffe-4260-acf2-e53c1b080ddd	TCGA-E2-A15G-10A-01	2ad97883-2600-4dfa-a695-8496fe4dbe91	TCGA-E2-A15G-10A-01D	1.97	'--	'--	DNA	D	'--	0.15	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	271e8024-a008-4bf0-9f6e-177f60096b1b	TCGA-E2-A15G	000002fc-53a0-420e-b2aa-a40a358bba37	TCGA-E2-A15G-10A	8b6f0a4c-bffe-4260-acf2-e53c1b080ddd	TCGA-E2-A15G-10A-01	66e7d53e-0b3b-42cc-b21b-7c7548308906	TCGA-E2-A15G-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
