"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"42",19,25,23,27,28,21,25,24,28,20,26,21,26,29,20
"43",27,25,28,29,21,24,28,25,30,23,21,21,24,27,23
"44",26,20,26,26,27,26,32,27,22,22,27,22,27,25,23
"45",23,24,28,23,32,29,21,20,27,30,28,29,21,29,28
"46",25,28,27,21,20,23,19,26,25,22,22,23,21,24,23
"47",25,28,25,35,29,21,24,21,24,25,22,20,25,23,26
"48",25,26,25,17,20,26,32,25,23,18,27,29,23,20,20
"49",17,27,26,27,16,25,27,23,23,23,19,27,28,24,22
"50",30,30,28,21,28,19,25,20,31,23,27,29,22,22,21
"51",27,25,27,23,25,22,23,17,28,30,27,26,24,22,25
"52",24,22,26,26,19,25,22,32,21,21,28,21,29,26,23
"53",28,24,22,21,30,28,26,26,24,30,22,30,25,25,23
"54",19,28,24,25,18,22,30,28,21,19,25,26,22,26,25
"55",31,21,30,22,36,20,21,33,25,23,21,23,26,22,26
"56",32,27,32,18,25,18,27,25,29,24,25,28,28,28,26
"57",27,23,24,24,29,22,29,26,28,30,26,24,26,22,26
"58",21,19,25,27,35,19,28,25,28,25,22,21,21,24,26
"59",28,20,26,27,26,28,20,26,29,19,24,22,27,25,24
"60",22,27,27,29,24,22,26,29,21,23,28,25,22,21,19
"61",18,29,23,23,21,19,25,21,25,27,30,29,21,22,22
"62",26,34,23,24,21,24,27,25,21,29,29,26,18,24,21
"63",34,26,21,27,30,24,33,27,23,20,27,29,23,26,22
"64",32,32,27,23,27,27,27,28,23,23,25,26,26,24,23
"65",24,26,20,23,20,22,25,30,32,22,24,31,23,24,23
"66",31,30,29,15,27,28,26,27,24,19,25,20,24,28,24
"67",18,23,22,24,24,28,24,29,22,28,25,21,21,26,29
"68",23,30,27,21,34,30,24,24,30,28,23,22,22,23,32
"69",22,29,18,27,23,20,30,30,27,25,20,27,25,25,25
"70",26,33,22,24,21,25,31,30,18,27,20,25,24,27,30
"71",17,28,21,17,21,21,29,20,29,27,26,23,26,25,25
"72",29,26,29,36,28,25,26,20,26,21,25,27,20,20,25
"73",16,23,21,32,19,23,23,24,28,20,25,21,24,27,28
"74",22,30,26,32,29,23,36,29,21,27,23,23,26,24,26
"75",21,23,30,23,31,21,22,25,23,21,26,27,30,29,25
"76",23,27,20,29,25,25,29,23,28,23,26,24,24,20,23
"77",22,19,19,17,27,16,17,25,28,23,30,26,26,21,22
"78",25,19,30,22,25,24,22,27,23,22,24,25,25,24,24
"79",28,30,24,20,26,21,26,25,20,24,23,29,25,24,21
"80",29,21,23,18,22,21,28,23,25,22,25,22,20,22,20
"81",21,22,29,29,22,24,22,26,23,21,23,23,27,25,22
"82",29,24,29,17,25,32,26,27,25,30,25,23,23,26,28
"83",23,20,20,26,17,24,20,20,28,19,29,22,25,27,20
"84",21,25,25,29,31,26,25,21,23,24,18,28,30,20,27
"85",28,22,34,27,22,26,19,28,28,27,24,26,25,20,27
"86",26,24,24,22,24,20,22,28,31,21,23,20,25,28,24
"87",26,23,17,27,19,29,21,27,31,26,26,28,26,20,26
"88",24,26,28,27,23,25,24,26,33,20,27,29,27,24,26
"89",18,25,23,24,22,29,20,23,22,24,25,19,24,26,24
"90",28,22,28,29,22,31,23,22,20,21,23,23,26,24,24
"91",27,22,19,23,28,23,24,26,22,28,29,26,24,28,25
"92",22,30,24,23,24,24,32,23,27,24,26,29,23,26,24
"93",24,21,29,23,27,25,28,24,28,29,25,22,27,25,24
"94",20,29,32,28,22,30,23,25,26,26,22,27,23,23,24
"95",21,27,33,27,24,31,26,28,22,23,24,27,23,22,29
"96",24,22,25,24,21,25,26,23,28,23,26,23,26,24,26
"97",29,28,26,18,27,25,31,27,25,33,27,23,26,26,24
"98",30,31,26,25,30,31,25,12,25,26,23,22,23,19,28
"99",20,24,24,23,32,26,24,27,22,23,27,23,28,25,25
"100",18,26,17,28,25,21,24,23,26,29,30,22,27,25,27
"101",27,29,27,32,18,29,19,23,28,21,27,27,23,23,22
"102",24,23,27,27,25,24,26,25,21,26,20,26,24,28,23
"103",23,23,32,20,28,25,24,26,22,21,21,31,28,28,23
"104",23,24,26,25,36,29,27,28,21,27,21,25,18,25,24
"105",24,22,28,21,22,29,25,28,24,28,20,20,20,25,26
"106",27,29,23,25,23,28,25,30,23,25,26,30,23,26,30
"107",23,24,24,29,20,30,23,25,25,22,21,24,24,19,27
"108",24,25,20,25,24,23,22,23,23,23,20,26,23,23,27
"109",32,27,25,18,20,27,29,21,24,26,26,25,27,27,21
"110",25,21,29,28,21,25,18,20,21,22,28,24,27,28,29
"111",26,30,22,23,25,29,27,31,27,21,31,24,28,26,22
"112",31,24,23,33,31,19,25,19,22,26,23,24,25,26,20
"113",29,25,24,28,26,30,24,33,24,19,25,28,28,27,25
"114",30,28,19,25,16,18,20,22,22,27,24,26,20,24,24
"115",27,25,21,24,26,27,28,29,27,20,27,27,25,25,23
"116",26,24,25,28,24,26,28,24,23,26,25,23,23,22,24
"117",23,25,29,23,23,26,23,23,26,27,25,20,21,23,27
"118",25,23,26,25,20,24,25,36,25,24,22,17,29,27,21
"119",27,25,25,25,20,24,20,22,26,33,24,28,22,25,26
"120",24,27,16,21,25,22,23,25,23,21,21,28,21,28,22
"121",24,25,28,24,24,26,24,27,29,33,22,26,23,26,26
"122",27,23,17,27,33,28,33,29,22,22,22,26,26,21,24
"123",24,28,16,28,29,29,25,32,27,24,24,23,26,28,28
"124",22,28,27,28,30,26,25,27,23,17,25,23,18,25,22
"125",31,29,28,25,25,17,26,25,24,33,26,21,23,26,20
"126",25,31,25,31,28,22,24,24,19,25,23,25,25,24,29
"127",19,28,29,26,22,21,23,32,22,18,23,27,22,18,22
"128",25,28,25,26,26,26,25,31,19,28,25,31,25,23,24
"129",29,24,20,28,26,21,24,22,23,24,24,22,26,25,28
"130",21,24,26,25,24,29,21,14,27,23,28,22,28,32,22
"131",28,26,30,21,22,22,25,32,17,22,25,27,25,22,24
"132",25,21,21,26,29,29,29,22,20,25,23,24,27,18,32
"133",23,22,23,34,23,27,24,27,24,29,23,25,26,30,32
"134",19,30,27,25,27,23,29,27,23,28,21,26,26,26,19
"135",22,24,31,29,29,25,29,25,23,27,28,24,21,25,26
"136",26,25,19,22,26,32,26,28,17,22,21,25,26,28,23
"137",24,24,24,31,26,27,21,22,24,22,25,20,20,22,21
"138",25,30,30,22,32,26,26,31,21,27,28,25,26,27,29
"139",31,33,28,26,31,26,26,27,25,23,23,25,24,21,27
"140",38,24,27,31,20,21,30,21,29,26,24,26,21,23,27
"141",22,22,26,29,27,22,15,19,25,29,30,21,23,24,27
"142",26,28,24,26,22,24,26,27,29,22,26,24,23,24,24
"143",25,27,23,16,20,20,24,21,31,21,25,23,24,25,25
"144",23,27,27,16,31,22,29,29,24,25,24,23,22,28,24
"145",26,18,24,23,23,25,25,29,21,24,29,21,24,22,22
"146",29,29,24,35,19,30,19,29,27,33,29,20,24,25,19
"147",24,24,27,28,38,28,24,25,23,28,24,24,23,24,26
"148",26,25,27,27,34,27,20,21,28,26,21,22,28,23,28
"149",26,22,22,24,24,26,22,28,28,23,25,21,26,28,23
"150",28,26,20,16,24,28,25,25,25,28,27,22,25,24,21
"151",10,25,15,23,23,20,34,29,29,26,22,21,24,25,23
"152",20,31,24,27,24,22,24,30,33,28,28,25,29,25,21
"153",22,27,22,36,26,32,22,28,17,29,26,26,25,23,27
"154",28,20,25,24,34,23,26,23,25,21,22,27,25,21,25
"155",20,27,28,21,30,18,22,32,22,15,26,30,26,25,23
"156",29,29,29,23,23,18,23,28,21,27,23,22,25,26,22
"157",30,26,27,24,27,20,27,27,24,26,28,27,26,26,30
"158",23,23,25,23,27,25,24,24,29,30,25,27,27,27,19
"159",25,23,23,25,24,27,21,24,24,24,24,23,27,25,25
"160",25,25,36,31,17,25,26,18,28,27,27,24,21,21,21
"161",30,25,24,20,29,25,25,19,19,25,24,23,25,26,27
"162",35,24,21,25,22,23,27,16,19,18,26,25,26,25,24
"163",25,20,19,25,21,29,28,28,31,24,24,28,26,24,25
"164",21,27,35,30,26,18,26,30,24,20,24,23,21,25,24
"165",23,30,21,19,29,24,22,26,24,27,30,24,28,28,22
"166",34,31,26,20,26,26,24,23,25,25,21,23,21,25,21
"167",33,26,25,33,31,27,30,20,25,24,22,21,23,21,25
"168",23,23,21,27,27,23,26,28,27,26,23,20,25,22,26
"169",31,23,29,29,20,32,27,24,22,24,23,26,20,21,24
"170",21,22,28,34,18,30,28,23,22,25,22,20,25,21,24
"171",26,25,23,25,23,23,32,26,24,26,25,25,29,25,28
"172",25,31,18,25,29,20,28,24,24,32,26,22,22,22,25
"173",22,29,27,27,24,26,23,31,24,26,25,24,26,28,22
"174",26,21,27,24,19,25,25,22,23,30,25,25,22,27,24
"175",24,32,18,22,24,28,20,29,30,26,24,26,26,26,19
"176",27,30,27,24,22,25,33,19,22,29,24,24,22,26,28
"177",30,29,25,21,18,23,20,17,28,26,24,22,22,27,32
"178",22,32,23,30,27,23,24,17,18,25,29,22,24,25,28
"179",29,30,18,22,35,22,25,22,22,24,21,23,26,24,23
"180",30,19,20,20,34,27,19,24,24,26,22,30,25,30,24
"181",26,22,28,32,28,34,26,23,25,25,28,27,26,31,25
"182",25,28,29,31,28,23,22,26,26,27,24,24,25,25,25
"183",20,26,20,23,24,19,32,31,20,21,20,22,23,23,27
"184",30,32,24,32,23,24,18,26,33,17,22,29,23,22,25
"185",24,26,22,28,21,29,30,25,24,18,27,29,28,20,20
"186",19,21,19,29,29,28,23,20,27,27,24,26,25,24,19
"187",22,23,26,20,27,21,27,28,28,26,21,21,32,28,28
"188",25,20,19,27,31,18,20,32,25,24,29,20,26,25,29
"189",22,20,30,27,20,30,20,28,27,26,27,31,23,19,29
"190",31,21,25,20,22,22,24,20,22,23,23,24,20,26,27
"191",28,26,24,28,24,25,27,31,25,26,23,26,22,20,24
"192",18,18,25,25,31,32,29,23,21,23,28,18,20,23,23
"193",25,23,23,20,26,25,27,15,27,21,24,22,25,21,26
"194",24,19,25,28,24,27,30,22,24,30,25,21,22,21,23
"195",22,20,30,21,28,26,24,21,28,26,27,25,22,27,21
"196",30,24,23,24,28,25,26,22,22,32,21,26,24,28,25
"197",24,24,28,25,24,30,21,26,28,23,25,24,24,27,27
"198",23,25,27,19,28,27,28,28,24,28,22,24,22,27,24
"199",29,24,29,31,27,23,25,22,22,34,21,21,19,22,25
"200",26,30,27,28,29,23,26,24,19,21,24,25,26,29,25
"201",25,17,26,24,24,25,22,22,27,24,26,30,22,25,26
"202",31,23,26,30,25,18,25,24,27,23,25,19,29,25,22
"203",20,23,27,20,31,22,26,27,24,24,24,26,26,25,28
"204",19,23,25,23,25,23,26,32,25,28,23,22,27,24,27
"205",24,29,23,31,29,24,20,24,25,29,24,30,22,25,23
"206",31,27,21,21,30,27,32,22,25,19,22,23,22,25,27
"207",21,31,26,29,28,30,26,28,26,24,26,25,23,25,27
"208",21,29,20,28,21,23,25,24,19,22,27,22,27,26,27
"209",22,25,32,26,24,23,24,27,22,21,26,26,23,26,24
"210",23,25,20,22,29,23,25,19,35,22,25,28,24,22,23
"211",24,24,24,20,25,24,29,15,24,25,25,21,25,25,21
"212",25,24,23,24,24,28,26,28,28,25,26,26,25,23,26
"213",28,25,24,34,27,22,30,21,30,22,28,27,23,25,20
"214",23,33,19,21,31,27,20,25,24,22,23,24,23,23,24
"215",24,34,32,24,24,28,21,26,16,23,23,24,26,27,24
"216",27,28,30,31,22,29,22,26,19,26,26,25,21,24,25
"217",28,31,29,18,26,18,24,27,34,29,29,25,27,26,28
"218",21,25,28,19,25,29,26,29,24,34,26,22,26,27,26
"219",30,28,19,26,22,30,21,27,24,30,24,28,19,28,23
"220",30,28,21,31,14,23,22,34,24,28,28,20,29,23,24
"221",19,26,23,31,27,25,23,22,20,22,24,22,24,31,27
"222",26,24,26,30,28,23,28,19,23,26,23,23,24,25,29
"223",27,29,23,28,24,22,19,25,27,21,29,26,28,23,19
"224",25,27,25,25,26,28,19,33,30,29,24,25,24,19,30
"225",27,27,21,23,26,26,26,25,26,28,25,25,28,26,27
"226",25,28,24,24,28,27,25,22,28,23,29,24,28,21,24
"227",22,21,27,26,25,25,29,19,24,25,23,25,22,27,20
"228",24,28,21,21,24,17,28,29,33,28,25,26,21,24,21
"229",23,18,17,27,32,26,25,28,24,20,27,21,23,25,21
"230",17,31,32,23,23,27,28,27,24,25,28,26,23,24,26
"231",30,23,23,25,23,28,26,27,26,22,29,27,27,21,22
"232",27,29,21,19,20,29,21,24,23,27,29,26,25,23,31
"233",23,27,26,24,26,25,28,26,29,24,23,27,29,23,27
"234",27,25,22,29,28,27,19,31,24,25,24,32,22,23,26
"235",29,22,19,28,23,23,27,24,27,25,21,22,24,25,24
"236",26,26,25,20,21,24,27,28,27,27,24,26,22,23,26
"237",25,25,29,25,25,18,22,24,20,26,27,22,25,26,19
"238",25,24,29,33,28,27,30,25,25,24,20,31,27,24,26
"239",22,18,20,28,21,22,21,26,27,27,27,27,28,26,21
"240",19,29,21,25,27,25,25,22,32,23,25,25,23,23,20
"241",22,24,32,32,26,23,27,28,20,18,26,19,28,23,27
"242",18,25,17,26,30,25,24,24,18,27,24,23,28,23,24
"243",25,24,32,24,28,25,25,29,21,26,27,27,17,24,24
"244",20,22,24,26,23,24,26,27,28,21,23,28,19,26,24
"245",23,18,25,26,26,25,26,17,24,29,25,24,22,23,22
"246",18,25,24,25,29,27,20,25,21,27,23,24,28,24,25
"247",30,27,22,29,25,20,26,24,25,23,28,28,21,27,24
"248",26,27,29,30,18,27,26,30,23,20,24,24,21,27,23
"249",32,26,26,17,22,28,23,30,31,29,26,25,20,25,24
"250",28,23,28,29,22,23,31,28,21,23,23,26,25,22,28
"251",23,18,16,20,18,26,22,26,25,25,23,26,23,23,27
"252",26,29,29,23,19,23,29,30,25,18,25,28,27,22,29
"253",27,30,24,27,33,28,26,24,23,26,25,23,28,23,23
"254",21,29,28,18,27,29,28,23,28,25,22,23,27,25,27
"255",26,25,23,28,22,27,22,28,19,20,30,25,27,28,29
"256",29,24,24,31,26,24,23,22,27,33,21,22,20,22,32
"257",34,22,31,26,22,21,32,29,25,19,29,26,24,25,20
"258",22,31,32,18,17,26,24,28,23,26,27,21,22,23,25
"259",27,24,22,25,18,25,21,20,18,21,24,24,27,27,22
"260",38,19,28,34,23,30,22,27,29,23,25,27,24,22,27
"261",27,20,29,25,27,24,24,21,27,22,21,31,32,21,18
"262",20,25,29,23,35,22,28,31,27,23,24,19,26,21,23
"263",16,26,26,34,27,26,24,26,30,26,22,23,20,23,25
"264",20,21,23,25,21,27,28,22,25,26,27,24,21,26,22
"265",31,30,21,19,26,25,25,26,25,29,19,22,27,28,22
"266",21,24,30,30,23,26,22,30,25,22,28,24,29,26,26
"267",26,22,29,22,27,21,26,23,31,24,25,24,28,23,22
"268",26,15,29,32,30,22,21,26,25,24,22,27,25,27,23
"269",24,24,28,27,22,23,23,29,25,28,23,33,25,20,26
"270",22,23,25,24,26,24,24,22,26,29,28,22,28,22,22
"271",20,29,23,23,27,17,24,21,30,19,23,20,26,26,32
"272",22,26,21,31,19,27,22,27,18,24,27,22,24,28,32
"273",26,28,28,22,26,20,25,22,21,28,27,25,23,22,24
"274",22,27,31,23,25,24,25,25,26,22,25,23,28,29,23
"275",27,21,28,28,21,32,23,23,28,29,23,19,19,29,28
"276",30,24,20,20,26,25,22,27,26,25,24,22,21,26,18
"277",26,27,33,23,24,24,26,22,29,27,29,24,26,32,25
"278",21,24,22,22,25,23,23,25,23,33,27,26,23,27,26
"279",22,24,24,23,29,24,20,20,24,23,19,26,25,21,25
"280",22,29,30,28,24,27,24,26,30,23,23,19,27,23,28
"281",24,25,26,25,22,28,26,23,28,26,23,32,22,21,20
"282",17,18,18,26,32,26,21,22,21,29,21,22,29,28,27
"283",28,24,31,28,25,29,24,26,24,23,26,21,25,19,31
"284",24,27,31,30,25,23,25,18,28,20,26,21,25,29,29
"285",26,28,28,29,21,25,27,17,25,19,24,23,23,23,23
"286",28,23,25,24,30,18,20,30,21,28,25,26,23,22,28
"287",21,19,24,28,31,26,26,23,30,22,25,28,20,23,18
"288",27,18,28,23,27,25,26,33,28,27,26,32,27,19,28
"289",24,34,31,26,26,30,23,26,27,28,25,23,24,32,24
"290",26,27,20,23,33,25,23,27,19,25,23,19,23,32,23
"291",19,22,24,28,36,18,25,28,18,25,28,28,25,26,18
"292",27,19,29,21,30,25,24,22,20,24,21,23,22,27,29
"293",27,26,25,26,27,26,25,24,18,25,25,27,21,24,28
"294",27,20,23,22,28,27,16,19,23,26,32,25,22,25,24
"295",29,23,30,22,21,27,27,24,20,22,23,23,22,23,25
"296",18,28,28,26,26,27,26,20,21,20,21,28,23,24,27
"297",23,19,26,17,23,29,30,21,24,26,23,22,22,27,20
"298",28,17,23,24,27,20,20,30,25,23,29,24,20,22,26
"299",29,24,29,24,27,24,23,26,26,25,22,23,21,30,25
"300",31,22,22,21,24,16,24,20,22,24,25,28,24,21,21
"301",30,22,22,32,21,33,22,19,19,27,22,26,24,26,20
"302",24,22,28,33,26,32,24,25,28,28,21,25,26,23,32
"303",27,22,22,27,23,23,23,24,28,25,26,24,21,25,29
"304",25,23,27,23,22,23,25,23,25,25,22,22,21,24,24
"305",24,27,26,22,24,30,22,22,17,24,24,25,26,32,29
"306",22,31,23,27,28,21,24,26,26,30,21,26,28,25,22
"307",25,19,28,23,27,23,30,23,24,21,27,29,23,25,25
"308",25,27,26,32,28,25,27,26,21,25,22,25,28,24,25
"309",18,24,29,26,32,31,23,21,22,30,26,28,24,24,31
"310",22,26,24,27,18,26,20,23,26,21,24,26,28,25,30
"311",22,26,20,26,25,22,22,26,27,31,25,29,26,20,29
"312",25,22,31,20,29,24,26,21,18,22,23,26,23,24,19
"313",21,29,24,15,22,28,27,28,25,28,26,23,21,21,23
"314",24,28,24,23,22,21,30,20,23,27,24,21,24,23,25
"315",30,24,30,26,24,25,25,21,24,26,29,26,23,23,19
"316",18,29,27,22,21,27,23,25,30,21,22,27,27,21,26
"317",27,23,28,23,28,27,21,23,26,22,24,19,22,24,27
"318",32,18,22,27,21,29,31,30,26,22,20,26,22,26,22
"319",19,21,19,22,27,20,23,20,30,23,26,25,25,22,20
"320",24,20,27,21,26,24,27,19,22,30,20,27,25,30,26
"321",26,18,30,27,32,27,29,25,27,22,20,27,26,30,23
"322",26,28,24,28,19,19,21,20,26,30,21,30,26,29,25
"323",17,31,21,25,27,20,27,31,26,21,27,29,29,32,21
"324",28,32,24,25,29,23,21,23,24,14,22,29,23,30,22
"325",25,24,24,28,26,22,18,23,26,23,28,21,22,24,30
"326",23,23,30,23,28,20,17,32,25,26,24,26,31,23,22
"327",27,22,23,35,22,22,26,23,29,20,25,25,24,28,26
"328",39,29,33,27,36,23,23,23,26,29,23,24,25,25,27
"329",15,30,28,29,21,33,35,21,28,22,25,27,23,27,23
"330",26,21,23,23,35,22,28,20,21,28,21,24,26,24,25
"331",22,22,20,23,22,24,28,26,26,26,23,23,25,25,28
"332",29,30,23,19,34,28,23,23,24,26,26,26,26,25,28
"333",27,20,26,31,34,30,28,22,23,24,24,25,22,23,23
"334",24,18,24,26,23,19,24,21,23,27,25,24,24,17,27
"335",30,28,21,25,24,23,22,17,22,26,22,25,26,26,27
"336",27,24,27,25,26,28,29,29,17,24,24,22,26,28,27
"337",19,20,28,34,27,30,26,24,14,23,20,25,24,22,24
"338",21,21,25,30,27,27,26,21,23,24,22,26,29,27,22
"339",20,22,28,26,20,26,23,28,20,25,23,22,15,25,25
"340",31,29,26,22,22,31,28,24,29,26,26,25,30,25,23
"341",19,30,24,28,28,23,24,23,22,25,28,28,27,27,26
"342",31,16,22,27,25,25,29,19,23,24,27,23,24,25,23
"343",27,19,27,28,22,26,25,25,23,20,25,21,25,27,26
"344",23,28,21,29,23,21,22,27,29,21,28,32,26,28,25
"345",31,24,24,23,25,24,32,20,20,21,25,29,28,25,25
"346",23,17,26,25,23,26,30,22,22,21,24,27,29,22,26
"347",24,24,30,23,24,18,22,20,25,27,25,26,22,25,22
"348",23,25,31,20,23,26,18,24,24,23,26,23,25,22,24
"349",20,24,31,25,23,29,27,26,34,22,27,29,27,29,26
"350",30,22,28,23,23,24,28,32,21,25,27,24,25,26,19
"351",25,24,18,22,29,24,21,20,27,25,23,24,26,31,27
"352",33,32,32,24,29,23,21,31,22,19,27,25,29,20,28
"353",21,26,26,24,27,24,25,24,27,23,28,27,32,25,26
"354",22,23,26,25,28,24,29,24,25,28,25,24,26,25,25
"355",27,30,23,25,18,23,28,24,27,30,24,21,25,25,24
"356",19,22,28,26,22,27,17,20,24,24,24,25,23,27,25
"357",30,29,28,29,24,17,25,22,29,27,19,21,27,23,29
"358",27,33,21,31,23,20,28,23,22,28,26,24,23,25,21
"359",20,29,19,27,26,29,20,19,27,27,29,27,23,29,27
"360",24,22,26,30,21,28,29,25,25,21,20,23,22,25,30
"361",27,28,20,26,33,24,24,26,21,25,24,23,27,25,25
"362",25,28,28,24,22,24,26,18,29,20,23,24,21,20,25
"363",24,20,23,25,31,21,26,22,25,22,24,25,21,27,26
"364",21,29,27,22,24,25,25,23,25,21,24,28,25,25,23
"365",29,26,20,23,23,32,26,31,27,19,20,28,23,24,26
"366",21,23,32,21,29,26,17,27,21,22,26,27,26,25,27
"367",20,26,21,25,30,25,18,29,28,32,25,21,26,28,27
"368",30,32,32,21,23,19,34,29,23,24,26,27,24,25,19
"369",26,36,25,22,25,23,27,26,26,23,27,32,23,27,28
"370",33,19,27,29,21,22,26,22,26,28,27,29,28,23,25
"371",20,17,26,16,31,23,24,27,31,21,25,22,24,23,30
"372",21,25,31,32,22,21,30,22,24,21,26,22,26,23,25
"373",26,22,22,28,23,25,23,23,22,23,26,22,24,22,27
"374",22,22,27,25,21,24,20,25,20,21,26,25,29,28,26
"375",26,25,37,26,24,25,31,19,18,23,24,23,30,26,21
"376",25,22,29,28,21,29,28,23,26,26,30,27,21,27,28
"377",29,25,32,22,22,27,21,29,19,27,31,33,23,21,27
"378",29,24,23,19,26,29,22,29,25,27,20,25,23,27,23
"379",31,27,28,24,27,24,21,24,23,22,24,21,21,21,22
"380",24,30,25,26,29,21,24,29,17,25,23,24,28,22,27
"381",21,35,24,28,26,26,26,32,23,27,27,24,24,21,24
"382",24,24,14,25,25,25,32,27,23,29,31,24,23,26,23
"383",26,20,22,19,19,24,25,27,23,20,25,21,22,22,29
"384",25,29,27,25,28,28,24,27,24,22,23,26,26,21,27
"385",18,15,29,28,20,20,27,29,26,28,23,29,19,29,24
"386",34,23,19,28,20,24,23,23,27,29,22,22,19,22,22
"387",25,26,26,26,20,19,26,25,21,28,22,25,24,26,25
"388",27,26,23,24,32,19,30,22,21,21,23,26,26,25,24
"389",28,23,21,16,17,23,19,30,30,24,23,22,23,29,26
"390",22,30,25,31,26,27,26,27,28,17,22,19,20,26,27
"391",27,26,25,22,25,30,29,25,27,24,26,21,23,21,28
"392",27,21,25,21,21,28,28,23,24,17,24,22,24,24,22
"393",26,23,22,21,24,31,24,28,25,24,22,20,27,27,27
"394",26,23,36,28,28,29,23,29,17,19,27,24,24,26,24
"395",29,21,24,20,21,27,27,29,22,27,29,24,26,23,26
"396",26,19,29,31,24,28,20,20,23,28,21,28,26,33,24
"397",25,25,20,30,28,28,22,22,27,24,27,27,27,20,23
"398",24,22,30,23,20,20,29,19,26,23,27,22,23,23,26
"399",22,23,24,25,23,25,25,22,28,30,21,26,24,24,20
"400",26,28,23,23,25,28,28,28,21,18,24,29,28,24,22
"401",23,27,32,24,23,22,25,21,22,26,28,29,20,29,19
"402",19,15,28,24,26,23,27,20,27,36,22,26,32,29,28
"403",27,26,28,27,27,22,22,23,26,29,24,27,28,23,33
"404",23,26,30,28,23,25,24,26,24,17,28,25,27,21,24
"405",30,24,25,23,24,24,28,27,23,27,27,25,28,27,25
"406",24,20,21,18,23,22,21,26,25,31,25,27,19,17,24
"407",18,26,25,21,25,28,27,21,32,22,21,24,24,27,27
"408",22,15,18,20,22,27,24,21,21,27,21,24,28,20,19
"409",26,27,31,26,28,24,25,20,27,25,27,24,23,30,29
"410",31,24,27,20,21,23,30,20,20,23,27,23,22,26,21
"411",25,23,24,32,27,29,22,19,20,25,25,26,23,23,25
"412",19,26,24,25,22,25,26,19,26,23,22,24,26,31,27
"413",20,26,24,24,30,27,23,22,24,22,26,19,23,25,23
"414",22,26,29,26,34,26,19,21,22,24,26,25,23,27,24
"415",31,26,29,20,22,21,17,22,23,20,24,26,29,26,30
"416",24,26,24,21,30,25,23,22,21,29,22,30,25,25,19
"417",23,32,25,25,32,20,18,28,24,24,30,26,31,25,25
"418",30,21,30,25,39,25,21,22,23,26,25,23,27,27,23
"419",23,22,28,23,19,28,28,24,25,21,24,21,23,25,24
"420",31,25,23,25,23,28,24,21,22,24,25,22,28,29,26
"421",28,18,21,26,24,28,21,25,21,32,25,23,23,26,29
