nu,D,seed,distance
1.25,6.0,2.0,0.18760703216750688
1.25,6.0,3.0,0.1866497855326704
1.25,6.0,4.0,0.18659950209834297
1.25,6.0,5.0,0.18438473021834653
1.5,6.0,1.0,0.14655156772200217
1.5,6.0,2.0,0.14500194391552526
1.5,6.0,3.0,0.14818561264356922
1.5,6.0,4.0,0.14478729243628216
1.5,6.0,5.0,0.14637544245167466
2.0,6.0,1.0,0.08515882637742818
2.0,6.0,2.0,0.08514766326822286
2.0,6.0,3.0,0.08578558026950725
2.0,6.0,4.0,0.08538665662279112
2.0,6.0,5.0,0.08528277544746003
3.0,6.0,1.0,0.05593824633023358
3.0,6.0,2.0,0.054663498648333475
3.0,6.0,3.0,0.05607617553157745
3.0,6.0,4.0,0.05326646847715181
3.0,6.0,5.0,0.05444308072457437
4.0,6.0,1.0,0.10217113281151406
4.0,6.0,2.0,0.10666036726034132
4.0,6.0,3.0,0.10216543772548099
4.0,6.0,4.0,0.10492095304992406
4.0,6.0,5.0,0.10225620101556143
5.0,6.0,1.0,0.14916367452654106
5.0,6.0,2.0,0.14895628591363128
5.0,6.0,3.0,0.15017559974068595
5.0,6.0,4.0,0.14895059373545202
5.0,6.0,5.0,0.14930775537228844
10.0,6.0,1.0,0.28407592284456
10.0,6.0,2.0,0.2843902622965527
10.0,6.0,3.0,0.2839389943315134
10.0,6.0,4.0,0.2845467624999466
10.0,6.0,5.0,0.2840860441780757
1.25,7.0,1.0,0.20305650256184554
1.25,7.0,2.0,0.20329211121605278
1.25,7.0,3.0,0.20206607842095295
1.25,7.0,4.0,0.20217535091242733
1.25,7.0,5.0,0.19947494033146226
1.5,7.0,1.0,0.16236083375197802
1.5,7.0,2.0,0.16051955491171935
1.5,7.0,3.0,0.1643145553381265
1.5,7.0,4.0,0.16002747031917094
1.5,7.0,5.0,0.16217807915104238
2.0,7.0,1.0,0.10040149312010806
2.0,7.0,2.0,0.10036517481922162
2.0,7.0,3.0,0.10152721393531214
2.0,7.0,4.0,0.10094379368752715
2.0,7.0,5.0,0.10030005075780153
3.0,7.0,1.0,0.053582816016366865
3.0,7.0,2.0,0.05332533602820175
3.0,7.0,3.0,0.05525645443793464
3.0,7.0,4.0,0.05076898986872878
3.0,7.0,5.0,0.0517980154078455
4.0,7.0,1.0,0.08949368015993729
4.0,7.0,2.0,0.09492615162527201
4.0,7.0,3.0,0.0895164761441065
4.0,7.0,4.0,0.09262903140198189
4.0,7.0,5.0,0.08968824463700692
5.0,7.0,1.0,0.1352996647663808
5.0,7.0,2.0,0.1350338002824484
5.0,7.0,3.0,0.13647154088903748
5.0,7.0,4.0,0.13502236390236388
5.0,7.0,5.0,0.13540546582165003
10.0,7.0,1.0,0.2715187008161404
10.0,7.0,2.0,0.27188570253500044
10.0,7.0,3.0,0.2713762530384075
10.0,7.0,4.0,0.2720148868798721
10.0,7.0,5.0,0.27150792669120105
1.25,8.0,1.0,0.21612170692195917
1.25,8.0,2.0,0.2161829899641932
1.25,8.0,3.0,0.21495795550586502
1.25,8.0,4.0,0.21523994758329695
1.25,8.0,5.0,0.2122376869071177
1.5,8.0,1.0,0.17555603493392272
1.5,8.0,2.0,0.1734494374888005
1.5,8.0,3.0,0.17781196768983673
1.5,8.0,4.0,0.17281759182988984
1.5,8.0,5.0,0.1754015144076032
2.0,8.0,1.0,0.11338987467142851
2.0,8.0,2.0,0.11331004960738168
2.0,8.0,3.0,0.11494447223587963
2.0,8.0,4.0,0.11407209983645432
2.0,8.0,5.0,0.11307484790684234
3.0,8.0,1.0,0.05555680174437567
3.0,8.0,2.0,0.05671163608608239
3.0,8.0,3.0,0.058477932040648065
3.0,8.0,4.0,0.05264986452426103
3.0,8.0,5.0,0.0535532133482634
4.0,8.0,1.0,0.07994846697717437
4.0,8.0,2.0,0.08601370655559701
4.0,8.0,3.0,0.07999114090819348
4.0,8.0,4.0,0.08343394960674821
4.0,8.0,5.0,0.08022930945946859
5.0,8.0,1.0,0.12396671882877149
5.0,8.0,2.0,0.12366693165709768
5.0,8.0,3.0,0.12510612120924514
5.0,8.0,4.0,0.12362610039138217
5.0,8.0,5.0,0.12412534276225584
10.0,8.0,1.0,0.26081091823456676
10.0,8.0,2.0,0.2612144057361713
10.0,8.0,3.0,0.26066891402637626
10.0,8.0,4.0,0.2614159858852558
10.0,8.0,5.0,0.2608420309378321
1.25,9.0,1.0,0.22737854827013654
1.25,9.0,2.0,0.22751008576299864
1.25,9.0,3.0,0.22604112043834848
1.25,9.0,4.0,0.22634248014477182
1.25,9.0,5.0,0.22300370772296568
1.5,9.0,1.0,0.18672913146060624
1.5,9.0,2.0,0.1844941786781369
1.5,9.0,3.0,0.18912049126960387
1.5,9.0,4.0,0.18373973522469186
1.5,9.0,5.0,0.18676304195389543
2.0,9.0,1.0,0.1245249846999138
2.0,9.0,2.0,0.12455381265156275
2.0,9.0,3.0,0.12658913811919817
2.0,9.0,4.0,0.1253861651987184
2.0,9.0,5.0,0.12414009645401594
3.0,9.0,1.0,0.059400601078154786
3.0,9.0,2.0,0.06192910849706948
3.0,9.0,3.0,0.06368791576179207
3.0,9.0,4.0,0.05721011914089461
3.0,9.0,5.0,0.05772112116469074
4.0,9.0,1.0,0.07291644777026218
4.0,9.0,2.0,0.07921512543194845
4.0,9.0,3.0,0.07303231063230793
4.0,9.0,4.0,0.07658586026633239
4.0,9.0,5.0,0.07328806847966679
5.0,9.0,1.0,0.11453121037180097
5.0,9.0,2.0,0.11419261516574568
5.0,9.0,3.0,0.11598605801441687
5.0,9.0,4.0,0.11422876133148857
5.0,9.0,5.0,0.11460223356286164
10.0,9.0,1.0,0.2515993737459789
10.0,9.0,2.0,0.2519092868806462
10.0,9.0,3.0,0.25138812035813113
10.0,9.0,4.0,0.2522266794950303
10.0,9.0,5.0,0.2515783177384424
1.25,10.0,1.0,0.2370045020031013
1.25,10.0,2.0,0.23699060470491862
1.25,10.0,3.0,0.23552985275939475
1.25,10.0,4.0,0.23601458748245294
1.25,10.0,5.0,0.23238468354936426
1.5,10.0,1.0,0.19661692914283554
1.5,10.0,2.0,0.19409520296523397
1.5,10.0,3.0,0.19916484519139727
1.5,10.0,4.0,0.19315787297529
1.5,10.0,5.0,0.1965329743532604
2.0,10.0,1.0,0.13429723367377278
2.0,10.0,2.0,0.13433499359553755
2.0,10.0,3.0,0.1366398651103671
2.0,10.0,4.0,0.13528182365545877
2.0,10.0,5.0,0.13381147354828837
3.0,10.0,1.0,0.06442793819395178
3.0,10.0,2.0,0.06828068880018606
3.0,10.0,3.0,0.07018654787692073
3.0,10.0,4.0,0.0626136622199386
3.0,10.0,5.0,0.0630312386852662
4.0,10.0,1.0,0.06793850543862769
4.0,10.0,2.0,0.07477398222817144
4.0,10.0,3.0,0.06808318859887948
4.0,10.0,4.0,0.07158155437018016
4.0,10.0,5.0,0.06840236237099565
5.0,10.0,1.0,0.10666957789244894
5.0,10.0,2.0,0.10626851228028902
5.0,10.0,3.0,0.1081134642454332
5.0,10.0,4.0,0.10627808330052398
5.0,10.0,5.0,0.10676645607607062
10.0,10.0,1.0,0.24342502818689282
10.0,10.0,2.0,0.2438084042984795
10.0,10.0,3.0,0.24321591393311742
10.0,10.0,4.0,0.2440789534338209
10.0,10.0,5.0,0.24340723212870338
1.25,20.0,1.0,0.29580728942562867
1.25,20.0,2.0,0.29513470638463224
1.25,20.0,3.0,0.2929554230024224
1.25,20.0,4.0,0.293931364997314
1.25,20.0,5.0,0.2884058126925881
1.5,20.0,1.0,0.2552521661627328
1.5,20.0,2.0,0.252018590767894
1.5,20.0,3.0,0.2591063923250079
1.5,20.0,4.0,0.2502120157736557
1.5,20.0,5.0,0.25510521923731444
2.0,20.0,1.0,0.19347937995070563
2.0,20.0,2.0,0.19400285373371265
2.0,20.0,3.0,0.1991221443428378
2.0,20.0,4.0,0.19561281930807942
2.0,20.0,5.0,0.1923371322551421
3.0,20.0,1.0,0.1101660603428453
3.0,20.0,2.0,0.12037994023629292
3.0,20.0,3.0,0.12186727813195858
3.0,20.0,4.0,0.1111223455860408
3.0,20.0,5.0,0.11056469163101718
4.0,20.0,1.0,0.07154413117625603
4.0,20.0,2.0,0.07393479491465899
4.0,20.0,3.0,0.07247670664926903
4.0,20.0,4.0,0.07175697425507148
4.0,20.0,5.0,0.07302004858348389
5.0,20.0,1.0,0.07288395547830792
5.0,20.0,2.0,0.07268004736134649
5.0,20.0,3.0,0.0741825242628977
5.0,20.0,4.0,0.07262202466941972
5.0,20.0,5.0,0.07272723692068984
10.0,20.0,1.0,0.1934850353170087
10.0,20.0,2.0,0.19393137851005526
10.0,20.0,3.0,0.19316478899702938
10.0,20.0,4.0,0.19460701778400646
10.0,20.0,5.0,0.19349333555680298
1.25,30.0,1.0,0.3264179002127014
1.25,30.0,2.0,0.32526798318336264
1.25,30.0,3.0,0.3226142240911628
1.25,30.0,4.0,0.32437207584751143
1.25,30.0,5.0,0.31761108560114604
1.5,30.0,1.0,0.2859974499321432
1.5,30.0,2.0,0.2821547163233588
1.5,30.0,3.0,0.29034382245774204
1.5,30.0,4.0,0.27995782339809966
1.5,30.0,5.0,0.2855270450873738
2.0,30.0,1.0,0.22469179927621025
2.0,30.0,2.0,0.22551724062917672
2.0,30.0,3.0,0.23214575061172207
2.0,30.0,4.0,0.22701533855196976
2.0,30.0,5.0,0.22302655246996608
3.0,30.0,1.0,0.13802633781705442
3.0,30.0,2.0,0.15116020172085853
3.0,30.0,3.0,0.15291152294493726
3.0,30.0,4.0,0.1406082613000714
3.0,30.0,5.0,0.1394712151014686
4.0,30.0,1.0,0.0927646189809285
4.0,30.0,2.0,0.09055009747186571
4.0,30.0,3.0,0.0939246725927294
4.0,30.0,4.0,0.08961158434893349
4.0,30.0,5.0,0.0944524400590546
5.0,30.0,1.0,0.07202945902628431
5.0,30.0,2.0,0.07288319888195162
5.0,30.0,3.0,0.07256044430940353
5.0,30.0,4.0,0.07240837129412067
5.0,30.0,5.0,0.07206244429639087
10.0,30.0,1.0,0.16779852569216658
10.0,30.0,2.0,0.16836986684927654
10.0,30.0,3.0,0.16742478791325566
10.0,30.0,4.0,0.1692109941571786
10.0,30.0,5.0,0.167807831108233
1.25,40.0,1.0,0.3468005223027593
1.25,40.0,2.0,0.34555295491454224
1.25,40.0,3.0,0.3423532329074256
1.25,40.0,4.0,0.3447126384797389
1.25,40.0,5.0,0.33660451217831183
1.5,40.0,1.0,0.30626121338660683
1.5,40.0,2.0,0.30221788997282395
1.5,40.0,3.0,0.31104644787057295
1.5,40.0,4.0,0.2995515210512315
1.5,40.0,5.0,0.3055047125417621
2.0,40.0,1.0,0.24493616845409527
2.0,40.0,2.0,0.24657823309696367
2.0,40.0,3.0,0.25437808832406816
2.0,40.0,4.0,0.24789372513918628
2.0,40.0,5.0,0.24324125405946195
3.0,40.0,1.0,0.1569361910753565
3.0,40.0,2.0,0.17270584364409405
3.0,40.0,3.0,0.1737958353510189
3.0,40.0,4.0,0.16099100466711114
3.0,40.0,5.0,0.15922897928967064
4.0,40.0,1.0,0.11002886923982554
4.0,40.0,2.0,0.10522615190824444
4.0,40.0,3.0,0.1116607354457667
4.0,40.0,4.0,0.10502054726590075
4.0,40.0,5.0,0.11180340905791462
5.0,40.0,1.0,0.07895886461137552
5.0,40.0,2.0,0.08071183763695444
5.0,40.0,3.0,0.07886942846935725
5.0,40.0,4.0,0.07996170714441073
5.0,40.0,5.0,0.07929799449202166
10.0,40.0,1.0,0.1514339435361553
10.0,40.0,2.0,0.152062621513298
10.0,40.0,3.0,0.15109889607343693
10.0,40.0,4.0,0.15326809749363213
10.0,40.0,5.0,0.15150610300546058
1.25,50.0,1.0,0.3615260063870358
1.25,50.0,2.0,0.3602141234060637
1.25,50.0,3.0,0.3569154948807372
1.25,50.0,4.0,0.359635728576656
1.25,50.0,5.0,0.3508296965056198
1.5,50.0,1.0,0.32131136152203804
1.5,50.0,2.0,0.3170782949724379
1.5,50.0,3.0,0.3261901885883233
1.5,50.0,4.0,0.31409421190478015
1.5,50.0,5.0,0.320323164654835
2.0,50.0,1.0,0.25993294168004033
2.0,50.0,2.0,0.2619612154000661
2.0,50.0,3.0,0.27064602217976486
2.0,50.0,4.0,0.2633489000809517
2.0,50.0,5.0,0.25796243469191327
3.0,50.0,1.0,0.17107483842765198
3.0,50.0,2.0,0.18800180735862337
3.0,50.0,3.0,0.1892936934481758
3.0,50.0,4.0,0.17613847685790035
3.0,50.0,5.0,0.17409535543672033
4.0,50.0,1.0,Inf
4.0,50.0,2.0,0.11711827626226877
4.0,50.0,3.0,0.12540918470913792
4.0,50.0,4.0,0.11744128914139706
4.0,50.0,5.0,0.12562258072512025
5.0,50.0,1.0,0.08706430228901992
5.0,50.0,2.0,0.08967935037140486
5.0,50.0,3.0,0.08652309550555916
5.0,50.0,4.0,0.08879378220813577
5.0,50.0,5.0,0.08786034142049629
10.0,50.0,1.0,0.13997738641354335
10.0,50.0,2.0,0.1406629888151828
10.0,50.0,3.0,0.13968602747424091
10.0,50.0,4.0,0.1419990184242855
10.0,50.0,5.0,0.1399827607389269
1.25,60.0,1.0,0.3732675689179608
1.25,60.0,2.0,0.3719469177063253
1.25,60.0,3.0,0.368076313570368
1.25,60.0,4.0,0.3713608825178657
1.25,60.0,5.0,0.36190326984661303
1.5,60.0,1.0,0.33304339744942046
1.5,60.0,2.0,0.32884873997100716
1.5,60.0,3.0,0.3382436638339776
1.5,60.0,4.0,0.3256594937573958
1.5,60.0,5.0,0.33193593281702066
2.0,60.0,1.0,0.2719433132741906
2.0,60.0,2.0,0.27409600604661116
2.0,60.0,3.0,0.28372335839121543
2.0,60.0,4.0,0.27536647218496385
2.0,60.0,5.0,0.2697322284511832
3.0,60.0,1.0,0.18226207092671598
3.0,60.0,2.0,0.20088972895427507
3.0,60.0,3.0,0.20189615155726
3.0,60.0,4.0,0.1880542437768389
3.0,60.0,5.0,0.1855882547263375
4.0,60.0,1.0,0.13476728472165406
4.0,60.0,2.0,0.1269251650190451
4.0,60.0,3.0,0.136564005930321
4.0,60.0,4.0,0.12762797891441127
4.0,60.0,5.0,0.13676365508413185
5.0,60.0,1.0,0.09475359684109924
5.0,60.0,2.0,0.09815238935271839
5.0,60.0,3.0,0.0939401899502881
5.0,60.0,4.0,0.09671784844398182
5.0,60.0,5.0,0.09587319929359212
10.0,60.0,1.0,0.13132609728753544
10.0,60.0,2.0,0.13184041872637967
10.0,60.0,3.0,0.13122988357102486
10.0,60.0,4.0,0.13314030561890375
10.0,60.0,5.0,0.13136229590450635
1.25,70.0,1.0,0.3828241133541834
1.25,70.0,2.0,0.38142367434705793
1.25,70.0,3.0,0.37753259160996494
1.25,70.0,4.0,0.38129537647774325
1.25,70.0,5.0,0.37122194851470575
1.5,70.0,1.0,0.3430773781119844
1.5,70.0,2.0,0.3384814828230298
1.5,70.0,3.0,0.3482375038474218
1.5,70.0,4.0,0.3348146236705235
1.5,70.0,5.0,0.3416384973575824
2.0,70.0,1.0,0.2818162565929668
2.0,70.0,2.0,0.2841574557047228
2.0,70.0,3.0,0.2944999076368745
2.0,70.0,4.0,0.28511215945770196
2.0,70.0,5.0,0.2794592413079978
3.0,70.0,1.0,0.19134507302924142
3.0,70.0,2.0,0.2111471821870453
3.0,70.0,3.0,0.21186225661659525
3.0,70.0,4.0,0.19831644511769905
3.0,70.0,5.0,0.195351222773833
4.0,70.0,1.0,0.14450331265810562
4.0,70.0,2.0,0.1351396814912658
4.0,70.0,3.0,0.1465251144563273
4.0,70.0,4.0,0.13613363469127002
4.0,70.0,5.0,0.14635276442997186
5.0,70.0,1.0,0.1016952841215432
5.0,70.0,2.0,0.1055401028541324
5.0,70.0,3.0,0.10065062885017408
5.0,70.0,4.0,0.10388296096502361
5.0,70.0,5.0,0.10283203661012169
10.0,70.0,1.0,0.12476679392419202
10.0,70.0,2.0,0.1252308035375782
10.0,70.0,3.0,0.1247276100508561
10.0,70.0,4.0,0.12665280614726776
10.0,70.0,5.0,0.12469340503111248
1.25,80.0,1.0,0.39068940832628124
1.25,80.0,2.0,0.3895250541474301
1.25,80.0,3.0,0.3852795395051766
1.25,80.0,4.0,0.389418151507891
1.25,80.0,5.0,0.3789116567272661
1.5,80.0,1.0,0.3513167562793134
1.5,80.0,2.0,0.34669368587523214
1.5,80.0,3.0,0.3565083752885507
1.5,80.0,4.0,0.34295258676331297
1.5,80.0,5.0,0.34987004457228155
2.0,80.0,1.0,0.28980197674414127
2.0,80.0,2.0,0.29262249896739884
2.0,80.0,3.0,0.3042961383297954
2.0,80.0,4.0,0.2935112697054247
2.0,80.0,5.0,0.2873165856370274
3.0,80.0,1.0,0.19918491489190146
3.0,80.0,2.0,0.21948434310092743
3.0,80.0,3.0,0.22066667552981117
3.0,80.0,4.0,0.20666647821273765
3.0,80.0,5.0,0.20358523189977826
4.0,80.0,1.0,0.15265956944792744
4.0,80.0,2.0,0.14239025671392408
4.0,80.0,3.0,0.15434417832134256
4.0,80.0,4.0,0.14373515114045243
4.0,80.0,5.0,0.15469941693482556
5.0,80.0,1.0,0.10826828415532842
5.0,80.0,2.0,0.11272573616123274
5.0,80.0,3.0,0.1069034067696561
5.0,80.0,4.0,0.1109032315227599
5.0,80.0,5.0,0.1096118592567292
10.0,80.0,1.0,0.11951012388670415
10.0,80.0,2.0,0.11990031773158914
10.0,80.0,3.0,0.11954614576250878
10.0,80.0,4.0,0.12141017711323873
10.0,80.0,5.0,0.11949683044602452
1.25,90.0,1.0,0.39785880683145874
1.25,90.0,2.0,0.39646905811263544
1.25,90.0,3.0,0.3919917125905115
1.25,90.0,4.0,0.396569082955089
1.25,90.0,5.0,0.3854871855561682
1.5,90.0,1.0,0.35847542933894755
1.5,90.0,2.0,0.3539103411019979
1.5,90.0,3.0,0.36377349557824123
1.5,90.0,4.0,0.3497509329327729
1.5,90.0,5.0,0.3567192669789665
2.0,90.0,1.0,0.29695604428985856
2.0,90.0,2.0,0.3000753759282247
2.0,90.0,3.0,0.312056016984315
2.0,90.0,4.0,0.3015096703645884
2.0,90.0,5.0,0.294298399612965
3.0,90.0,1.0,0.20595587633344
3.0,90.0,2.0,0.22683893936620408
3.0,90.0,3.0,0.22797681655654103
3.0,90.0,4.0,0.21391121615538355
3.0,90.0,5.0,0.21062342426914282
4.0,90.0,1.0,0.1596873418272068
4.0,90.0,2.0,0.148725840815802
4.0,90.0,3.0,0.16153106948368648
4.0,90.0,4.0,0.1502248006871504
4.0,90.0,5.0,0.16157716589890037
5.0,90.0,1.0,0.11389328403785252
5.0,90.0,2.0,0.11859206797162136
5.0,90.0,3.0,0.11261989610895679
5.0,90.0,4.0,0.11667630735408462
5.0,90.0,5.0,0.11575813186678514
10.0,90.0,1.0,0.11511280914102677
10.0,90.0,2.0,0.11558591935623484
10.0,90.0,3.0,0.11560963042365605
10.0,90.0,4.0,0.11719509356693517
10.0,90.0,5.0,0.11510435697842951
1.25,100.0,1.0,0.4041824643929471
1.25,100.0,2.0,0.4026703760810529
1.25,100.0,3.0,0.3981071675529907
1.25,100.0,4.0,0.40334630067960064
1.25,100.0,5.0,0.39140995369846576
1.5,100.0,1.0,0.3647649078317192
1.5,100.0,2.0,0.3601246505867377
1.5,100.0,3.0,0.3701470385915245
1.5,100.0,4.0,0.3556921943368155
1.5,100.0,5.0,0.3629783279279563
2.0,100.0,1.0,0.3036211051569635
2.0,100.0,2.0,0.3066576587442234
2.0,100.0,3.0,0.3190938203986854
2.0,100.0,4.0,0.30778653915335225
2.0,100.0,5.0,0.30095425549384947
3.0,100.0,1.0,0.2117754468970953
3.0,100.0,2.0,0.23449568742582066
3.0,100.0,3.0,0.23536631395176297
3.0,100.0,4.0,Inf
3.0,100.0,5.0,0.21659524175252887
4.0,100.0,1.0,0.1658960640434071
4.0,100.0,2.0,0.15425699326363088
4.0,100.0,3.0,0.1676275530085345
4.0,100.0,4.0,0.15582623108045476
4.0,100.0,5.0,0.16751472573348777
5.0,100.0,1.0,0.11895397040402879
5.0,100.0,2.0,0.12417290433353616
5.0,100.0,3.0,0.11769963221330905
5.0,100.0,4.0,0.1222077599008211
5.0,100.0,5.0,0.12102999627873695
10.0,100.0,1.0,0.11151597662442066
10.0,100.0,2.0,0.11179955555482433
10.0,100.0,3.0,0.11240286169994858
10.0,100.0,4.0,0.11302132235688431
10.0,100.0,5.0,0.11150977551961985
