"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"44",26,34,49,34,18,38,43,53,36,45,41,43,54,37,44
"45",34,105,73,57,114,53,41,61,67,70,59,61,56,59,55
"46",68,91,36,30,15,61,72,37,44,31,58,51,36,50,57
"47",65,29,22,68,55,64,61,38,48,53,62,46,44,46,37
"48",33,65,54,51,36,45,42,55,50,42,48,60,54,49,51
"49",34,61,19,48,67,37,62,37,46,33,38,54,43,45,43
"50",39,83,60,45,92,49,56,60,46,48,51,61,59,45,38
"51",57,42,27,44,32,54,67,35,50,30,52,44,38,51,47
"52",51,45,18,22,65,58,44,36,44,39,59,60,43,52,36
"53",34,34,52,59,43,40,57,48,49,48,41,46,46,45,40
"54",60,40,32,73,35,54,44,44,73,43,51,33,47,72,51
"55",44,58,98,62,41,49,30,73,48,42,49,34,64,43,42
"56",76,14,55,95,42,57,27,54,43,52,50,37,53,48,43
"57",45,72,15,85,52,42,40,27,72,50,40,59,31,64,55
"58",26,83,76,83,17,41,59,57,59,51,45,63,50,58,52
"59",29,96,30,49,57,39,60,27,61,42,47,59,31,55,49
"60",13,107,45,23,19,34,51,60,42,51,43,67,66,43,51
"61",20,42,53,36,38,41,69,54,38,44,43,47,52,43,48
"62",25,51,56,97,47,65,48,53,45,47,55,55,52,46,53
"63",83,45,57,58,42,50,58,54,37,42,57,48,50,42,49
"64",115,58,62,114,38,38,44,73,82,48,44,54,60,71,28
"65",46,63,72,74,112,54,54,63,61,47,50,36,59,56,59
"66",31,86,40,74,19,39,32,51,62,40,43,55,50,57,35
"67",52,49,68,42,93,49,58,48,49,53,52,55,53,51,49
"68",93,23,35,49,91,59,56,46,46,32,61,46,45,44,49
"69",56,69,100,14,44,60,47,68,30,60,56,38,63,36,46
"70",16,28,70,41,35,36,35,68,44,72,38,50,59,44,48
"71",105,52,33,46,62,57,55,49,54,45,63,53,44,56,37
"72",54,45,36,20,44,53,46,40,51,44,53,37,47,63,50
"73",29,58,23,52,81,53,41,45,48,57,53,44,47,45,65
"74",107,67,112,38,78,52,45,45,47,55,60,58,54,49,44
"75",62,67,78,41,63,66,59,76,40,65,61,53,64,39,46
"76",25,34,55,38,33,37,57,53,48,68,43,45,45,51,54
"77",53,51,29,56,54,39,63,54,54,50,45,42,52,52,58
"78",37,18,77,51,65,45,53,37,58,40,45,58,40,59,59
"79",47,22,34,109,41,46,48,70,71,54,48,37,67,59,64
"80",37,71,65,51,44,65,38,43,47,60,64,51,46,45,45
"81",78,22,101,26,31,36,41,59,39,50,39,55,57,43,42
"82",24,62,110,99,48,35,64,58,72,51,40,45,46,63,53
"83",66,17,38,19,47,48,37,64,38,40,51,52,51,45,58
"84",80,30,43,56,50,74,56,50,43,55,65,37,54,38,52
"85",79,23,41,6,90,57,38,46,27,46,60,43,46,36,53
"86",57,57,87,72,62,50,46,51,49,55,52,40,54,48,43
"87",55,28,48,36,106,55,43,64,56,38,56,53,56,62,56
"88",51,51,41,112,55,42,58,51,39,47,42,48,51,46,45
"89",91,62,37,32,38,47,38,52,65,79,54,48,54,60,55
"90",15,70,30,60,45,31,53,47,39,58,38,59,49,45,68
"91",11,25,83,41,46,27,48,51,59,50,34,54,59,58,62
"92",49,42,61,71,68,50,57,63,40,48,49,54,56,41,60
"93",24,50,31,27,52,49,38,62,50,51,42,49,62,47,49
"94",29,99,28,28,32,49,44,46,34,47,52,47,51,39,49
"95",70,9,65,32,38,54,55,41,59,39,44,49,45,53,50
"96",27,58,22,52,54,65,67,53,59,28,53,35,49,55,48
"97",48,45,21,49,38,60,31,38,41,42,46,53,44,45,61
"98",46,43,24,27,78,57,53,44,31,57,42,45,52,38,47
"99",70,66,54,35,56,62,51,37,62,49,54,37,41,55,46
"100",23,50,84,53,31,44,46,54,62,61,54,55,53,63,46
"101",34,50,24,89,61,38,60,74,53,55,40,55,70,53,47
"102",35,28,57,59,64,55,54,45,56,39,47,67,53,54,60
"103",53,43,76,47,50,53,63,51,49,61,38,44,49,54,53
"104",41,42,53,81,49,56,40,64,49,54,50,45,59,55,47
"105",47,21,42,59,49,49,45,48,36,52,49,52,46,41,49
"106",50,66,50,37,41,47,50,44,40,55,53,44,44,41,60
"107",48,75,35,14,76,50,38,42,39,55,47,58,39,50,50
"108",78,42,51,73,29,47,58,46,70,51,43,44,49,68,49
"109",48,88,51,41,64,64,36,54,49,61,64,59,54,50,44
"110",13,28,45,34,47,34,62,47,50,42,47,46,44,54,54
"111",82,56,70,54,34,54,53,44,51,58,39,50,43,49,56
"112",116,69,31,49,55,64,53,59,49,50,50,55,55,48,55
"113",51,62,29,69,39,58,42,46,58,48,57,47,50,58,46
"114",45,44,41,27,95,32,37,33,39,52,36,53,34,42,55
"115",50,59,42,39,17,59,61,55,42,48,55,49,59,43,50
"116",59,16,28,38,48,50,53,52,54,65,47,37,55,59,52
"117",85,26,71,94,62,64,42,42,76,36,53,48,46,69,50
"118",24,72,35,79,53,54,54,59,72,57,52,55,54,69,50
"119",64,74,79,47,75,59,48,40,46,49,49,59,41,45,55
"120",10,26,41,97,23,34,58,58,70,46,49,41,51,61,43
"121",52,50,63,39,26,43,41,57,46,62,36,48,62,48,60
"122",66,27,78,106,56,51,48,51,55,35,46,50,46,59,44
"123",48,27,43,45,28,48,57,61,49,48,51,36,55,42,43
"124",75,16,77,46,73,65,28,54,51,56,59,43,57,49,57
"125",49,42,61,42,31,62,62,65,50,42,65,52,61,66,38
"126",51,68,22,25,27,61,39,59,39,51,59,53,57,54,55
"127",18,51,66,31,67,46,52,34,38,44,54,61,38,43,55
"128",44,98,18,27,50,39,53,59,43,38,36,51,56,40,47
"129",63,25,40,63,61,48,49,35,52,53,46,35,40,48,44
"130",38,36,77,39,30,58,32,51,50,53,61,56,54,47,48
"131",25,55,40,34,93,38,59,27,51,61,48,50,36,53,42
"132",40,82,53,35,10,70,48,45,50,39,49,58,46,56,48
"133",21,78,100,81,33,41,42,43,65,29,54,51,43,55,53
"134",65,55,26,28,80,69,54,43,41,33,56,54,39,59,60
"135",35,91,10,44,45,41,60,67,47,40,50,66,56,44,41
"136",66,52,78,74,48,64,75,40,66,61,55,51,45,47,37
"137",44,32,60,90,30,53,47,47,64,32,54,60,53,63,34
"138",68,23,55,27,50,48,73,69,37,42,44,59,65,56,43
"139",43,63,47,62,50,56,54,55,54,39,58,57,52,40,62
"140",28,66,66,61,19,42,64,60,64,44,47,50,61,50,40
"141",44,85,46,51,72,42,53,47,54,51,41,47,46,65,46
"142",78,36,48,32,43,38,41,59,42,57,48,59,56,54,43
"143",51,69,86,66,42,52,60,51,53,43,53,54,51,44,47
"144",35,31,30,59,27,52,58,52,56,59,51,58,52,49,49
"145",63,95,58,67,98,57,65,65,46,41,57,47,58,54,57
"146",45,58,57,48,56,52,45,33,40,50,54,38,33,35,52
"147",42,33,37,64,42,47,58,57,54,46,53,48,55,49,54
"148",17,36,56,63,44,41,55,56,53,73,48,64,55,46,39
"149",54,45,65,23,47,55,72,34,39,49,50,71,32,53,51
"150",70,42,76,26,30,58,68,55,49,43,54,45,53,49,52
"151",21,44,26,118,40,42,42,58,77,45,53,49,54,45,64
"152",53,45,72,58,12,49,46,28,56,41,50,52,36,49,46
"153",18,45,20,27,142,39,51,61,41,41,47,49,51,64,42
"154",35,50,18,134,43,50,48,41,37,49,47,62,46,55,45
"155",64,43,36,42,40,62,58,55,52,31,54,54,49,46,38
"156",24,48,12,26,59,40,53,38,45,33,60,58,44,38,44
"157",95,47,40,39,97,68,56,34,42,28,46,50,40,50,51
"158",63,80,11,43,50,50,50,44,60,44,59,44,46,40,39
"159",62,47,40,25,55,57,44,33,52,54,45,53,42,43,42
"160",87,28,36,78,46,76,53,45,51,62,55,58,47,57,33
"161",36,64,40,86,97,42,56,28,46,50,71,59,35,48,44
"162",57,84,78,28,23,53,64,42,63,61,43,54,41,52,51
"163",27,32,69,42,52,42,53,43,64,44,50,49,44,53,51
"164",26,57,45,36,45,40,44,53,38,72,46,50,57,58,49
"165",29,70,72,84,91,41,54,57,45,43,44,51,50,56,62
"166",86,48,55,64,91,58,39,59,43,47,45,45,55,40,42
"167",67,33,38,14,73,46,64,48,63,50,50,47,48,46,63
"168",39,53,86,77,36,47,72,59,60,66,40,58,54,45,50
"169",82,31,73,49,45,64,63,58,34,73,49,48,57,56,44
"170",54,82,51,157,62,56,45,45,60,60,57,52,46,58,51
"171",14,62,41,35,46,34,42,61,57,45,56,38,53,42,57
"172",83,24,103,34,12,65,60,61,93,44,42,54,56,54,66
"173",57,37,37,85,44,59,46,49,40,61,58,43,48,58,56
"174",38,73,71,97,43,41,46,54,50,54,58,60,58,74,47
"175",46,31,87,46,26,51,66,64,64,33,42,55,52,41,43
"176",28,46,44,48,67,35,44,40,73,48,52,43,41,55,60
"177",13,90,82,49,91,33,51,62,48,47,37,47,58,56,56
"178",24,24,45,51,38,34,39,67,44,42,41,61,60,65,41
"179",42,51,49,28,16,41,40,53,54,61,37,46,55,47,48
"180",65,25,44,41,74,55,63,55,48,72,40,50,47,42,48
"181",46,35,21,65,66,60,29,41,42,51,51,39,39,55,37
"182",95,40,136,38,54,71,48,49,47,34,64,47,48,46,55
"183",66,46,22,32,56,58,60,54,58,57,63,57,56,46,65
"184",28,36,37,49,59,37,43,39,48,58,55,33,45,49,54
"185",99,59,26,48,38,26,40,42,51,50,39,49,39,54,41
"186",92,56,31,52,64,48,51,73,38,55,31,61,69,46,51
"187",111,68,61,48,83,28,50,38,47,54,45,45,38,46,54
"188",75,21,31,89,35,69,56,51,51,45,34,40,55,41,48
"189",58,59,55,19,53,72,62,43,50,32,67,51,48,45,54
"190",46,88,55,51,38,41,68,44,60,51,66,54,48,50,51
"191",59,23,68,31,76,51,38,57,37,44,49,54,55,50,46
"192",26,38,34,29,73,49,59,40,50,59,51,62,42,51,41
"193",49,26,84,45,28,43,41,50,55,41,53,67,48,44,56
"194",28,67,25,13,37,50,59,52,40,73,43,44,51,54,45
"195",33,46,39,26,88,49,58,57,48,58,52,61,53,56,61
"196",40,66,36,34,50,53,41,45,33,47,43,42,48,43,42
"197",45,36,56,38,63,48,65,55,41,44,48,58,46,49,70
"198",106,31,83,51,56,46,51,50,44,68,48,50,60,41,52
"199",22,36,55,38,33,87,41,39,53,45,45,49,38,46,54
"200",24,26,59,12,40,37,57,46,51,57,73,56,49,46,45
"201",69,67,37,33,40,45,41,54,49,50,38,56,53,57,61
"202",21,36,48,14,49,48,48,66,26,42,43,47,59,51,43
"203",46,17,50,32,48,70,57,62,41,45,50,51,63,52,54
"204",68,103,34,43,52,46,37,70,33,49,50,43,73,31,48
"205",20,68,54,22,31,46,48,41,40,55,50,46,42,43,45
"206",70,59,56,36,73,48,59,51,42,54,51,50,51,40,46
"207",69,64,32,41,37,68,54,52,38,52,41,41,51,42,52
"208",73,66,70,80,50,48,68,46,46,47,63,42,50,41,56
"209",35,47,87,26,43,53,39,56,54,60,55,63,56,43,55
"210",32,68,72,62,32,50,58,48,64,37,56,53,45,49,50
"211",66,58,65,79,48,48,49,48,45,48,47,59,53,57,52
"212",44,32,75,30,52,51,62,68,55,48,47,39,67,58,55
"213",25,41,54,38,105,44,62,60,57,48,56,54,51,52,37
"214",67,54,24,94,47,47,35,33,44,47,48,49,46,52,47
"215",40,33,46,95,28,46,53,49,42,55,49,59,52,49,49
"216",25,60,49,11,44,43,60,67,71,67,55,62,62,48,52
"217",45,49,66,88,44,35,50,49,35,51,48,35,50,42,45
"218",80,39,45,44,68,45,54,56,32,37,40,56,57,64,55
"219",37,33,53,51,60,38,54,57,48,47,48,61,54,48,55
"220",56,103,45,58,36,51,40,41,61,51,51,56,47,42,51
"221",75,64,44,55,87,50,43,50,51,64,49,52,52,42,40
"222",36,77,51,49,42,58,68,60,61,49,52,55,53,53,47
"223",58,57,32,47,26,45,60,48,49,48,59,40,49,52,52
"224",26,37,50,32,32,44,58,60,48,67,46,45,55,64,62
"225",55,55,27,25,26,37,50,43,49,41,54,57,48,45,44
"226",50,29,27,78,57,63,47,47,49,40,40,58,50,45,52
"227",68,70,41,68,56,54,49,44,46,48,44,52,45,48,50
"228",77,89,39,47,37,61,38,61,41,43,51,47,58,49,54
"229",49,77,33,30,52,66,58,43,62,54,56,49,41,50,40
"230",34,46,30,82,68,56,61,47,54,56,58,46,45,46,41
"231",57,63,23,64,53,41,63,42,48,45,52,40,45,56,44
"232",25,42,38,45,49,48,49,48,53,48,47,53,59,49,53
"233",119,71,38,16,65,39,49,38,59,41,52,52,37,48,52
"234",106,110,48,65,52,44,52,40,58,47,55,57,40,51,49
"235",90,27,33,29,72,85,55,46,50,56,48,49,50,52,50
"236",63,72,34,34,31,57,84,46,35,38,50,44,51,52,41
"237",58,40,36,25,25,59,40,42,68,55,74,54,48,51,58
"238",29,38,36,38,40,38,54,47,33,46,60,49,49,42,56
"239",92,50,33,26,51,41,47,48,44,38,57,75,50,68,38
"240",92,34,17,55,22,72,39,79,44,42,39,45,76,34,48
"241",24,46,75,52,62,67,51,57,42,55,45,47,56,47,53
"242",60,48,85,78,101,47,40,34,45,38,65,48,36,51,43
"243",46,58,48,59,49,57,49,46,51,42,58,38,45,42,43
"244",46,56,51,57,40,52,48,45,56,78,56,51,45,51,51
"245",51,85,23,53,43,59,61,39,63,46,55,41,39,49,46
"246",49,67,28,32,60,52,48,56,57,41,54,49,58,56,38
"247",35,47,98,49,49,49,69,60,49,42,62,47,59,58,60
"248",12,24,24,36,111,43,60,61,57,71,51,61,55,56,48
"249",40,53,68,84,33,34,54,51,39,54,47,45,54,45,44
"250",45,59,82,93,77,47,42,28,52,65,46,63,35,57,48
"251",51,39,35,42,7,57,55,49,46,51,43,57,45,40,63
"252",67,35,54,53,34,46,59,58,67,66,51,56,58,53,54
"253",66,65,13,40,57,52,48,60,70,34,61,49,46,49,50
"254",56,66,51,66,35,50,49,58,44,39,43,54,56,60,56
"255",17,76,42,55,57,51,61,64,46,55,46,58,62,62,59
"256",48,32,32,103,40,37,48,51,39,39,44,51,52,44,54
"257",82,54,56,63,55,61,60,49,70,63,49,53,49,43,55
"258",54,27,33,42,56,66,45,61,52,41,44,59,62,37,37
"259",53,28,76,33,32,55,49,46,79,49,44,42,49,70,51
"260",42,62,29,75,49,44,36,51,52,48,55,54,49,50,50
"261",90,80,39,55,70,38,41,49,50,38,46,49,48,71,51
"262",103,57,27,37,75,49,50,45,39,48,58,46,48,48,64
"263",29,46,65,38,75,31,56,53,61,64,47,38,49,52,41
"264",60,83,58,34,70,54,44,52,49,63,39,45,57,41,46
"265",19,24,31,39,87,48,54,39,42,61,51,57,41,56,45
"266",23,44,48,30,40,45,37,53,37,55,49,56,51,46,40
"267",71,78,29,28,9,55,40,36,47,47,43,50,40,43,47
"268",68,25,61,51,39,34,41,55,49,44,56,60,55,36,61
"269",24,35,34,49,122,47,44,53,45,25,37,40,51,50,58
"270",41,87,58,65,105,61,46,54,50,48,49,42,46,52,56
"271",34,46,40,37,38,53,45,60,52,80,60,42,57,50,50
"272",16,31,33,60,110,41,47,35,51,79,56,51,43,58,35
"273",20,104,77,61,36,38,39,44,56,47,43,50,51,51,45
"274",79,25,34,29,135,41,73,32,57,77,44,50,33,50,31
"275",28,44,67,85,27,48,44,58,54,40,43,50,53,53,50
"276",28,39,93,53,41,38,39,51,55,27,39,43,50,64,67
"277",42,66,26,44,48,47,50,46,39,60,42,75,45,51,70
"278",62,40,79,42,41,52,37,60,55,58,53,45,57,52,50
"279",41,81,29,32,55,47,64,54,49,50,46,44,47,42,66
"280",39,49,45,54,23,44,66,60,51,55,46,49,58,45,41
"281",24,48,36,16,55,48,44,64,49,48,48,41,64,47,38
"282",49,30,19,43,26,51,63,42,43,53,52,55,43,53,58
"283",49,118,23,38,54,49,48,54,51,45,49,54,58,50,52
"284",73,61,44,60,70,42,57,45,43,51,48,51,45,46,52
"285",51,20,25,44,49,40,50,42,48,41,42,60,46,50,56
"286",65,27,43,40,45,58,44,43,44,48,47,48,46,54,49
"287",55,50,40,102,55,57,74,48,63,53,60,58,39,49,51
"288",50,68,32,36,36,46,53,46,51,27,51,49,40,46,54
"289",27,74,55,81,15,54,60,40,40,38,53,48,51,63,49
"290",36,59,54,84,80,58,39,42,63,50,50,61,40,53,46
"291",53,35,62,76,27,47,52,47,43,41,58,50,50,40,45
"292",35,15,32,47,56,38,50,50,63,38,45,52,62,51,47
"293",58,76,37,45,50,50,59,35,59,55,41,42,58,45,37
"294",64,46,47,100,63,50,48,33,64,45,54,52,45,57,42
"295",77,53,55,23,68,41,50,45,45,51,48,44,51,51,48
"296",64,23,38,65,30,48,38,33,45,47,42,54,39,59,41
"297",23,54,22,54,106,54,62,50,63,55,44,44,55,43,47
"298",71,45,50,59,32,60,55,47,38,50,50,55,56,44,47
"299",72,66,53,47,69,55,53,39,56,41,56,47,52,51,51
"300",55,51,56,26,39,57,45,54,57,33,43,57,51,43,48
"301",35,55,72,111,55,58,50,56,57,56,42,58,56,52,45
"302",86,105,47,24,32,64,58,49,52,54,42,52,57,57,51
"303",75,22,11,68,60,42,58,44,41,62,52,52,56,55,44
"304",82,37,93,66,32,72,49,55,66,45,53,48,51,53,45
"305",76,55,38,86,56,64,55,57,44,45,66,61,45,46,41
"306",11,46,46,67,25,58,57,57,57,45,44,54,41,52,55
"307",77,32,28,46,49,60,38,57,62,57,66,47,57,51,51
"308",35,52,60,64,48,24,45,42,63,42,59,55,36,53,59
"309",45,23,83,25,43,66,55,32,55,55,49,43,59,59,46
"310",66,41,28,37,17,39,50,66,52,37,54,43,51,55,41
"311",19,21,31,31,21,47,49,37,56,58,28,47,59,50,49
"312",54,31,54,80,24,59,48,57,41,56,62,54,47,53,55
"313",83,56,43,76,24,40,32,45,44,50,40,50,44,52,45
"314",25,42,34,34,41,45,39,60,48,35,47,54,44,46,53
"315",79,52,51,81,74,72,33,41,42,34,56,45,51,45,41
"316",61,49,102,42,85,41,44,44,46,41,48,35,46,53,60
"317",56,20,34,32,84,61,55,42,57,42,42,37,52,49,58
"318",4,29,46,30,91,53,53,48,57,52,67,37,48,52,52
"319",78,92,46,43,20,47,52,46,54,61,46,48,52,51,42
"320",45,43,81,52,34,39,38,59,54,63,54,54,56,54,37
"321",68,86,41,46,50,41,35,47,39,67,50,56,43,45,47
"322",58,31,44,74,55,54,37,56,42,66,40,51,41,58,49
"323",41,122,48,59,53,48,76,51,55,35,51,34,54,40,55
"324",59,32,61,46,57,59,56,44,47,45,41,40,64,46,56
"325",98,36,48,26,46,38,63,48,59,60,57,39,47,56,55
"326",48,80,48,64,38,62,48,60,46,61,51,70,50,46,61
"327",40,68,30,25,48,47,79,59,45,49,56,60,53,61,58
"328",59,20,75,50,25,51,41,49,41,54,49,55,50,52,41
"329",44,51,43,138,51,44,38,49,44,49,65,54,52,47,48
"330",63,55,45,22,78,47,53,45,52,51,49,66,46,44,63
"331",46,66,30,59,34,71,57,58,51,47,51,44,41,50,62
"332",44,28,18,42,77,41,32,50,84,36,50,38,55,45,47
"333",14,33,93,46,50,68,53,43,45,52,46,30,50,52,52
"334",83,57,98,57,38,34,63,46,39,62,61,58,53,75,49
"335",94,104,29,27,62,42,65,61,49,41,44,57,44,42,55
"336",19,52,41,29,46,75,38,49,47,63,57,53,34,39,46
"337",22,32,89,69,47,44,42,51,60,58,39,47,68,50,40
"338",73,30,85,72,77,27,55,41,39,48,52,49,59,46,51
"339",39,66,65,27,67,65,72,30,48,52,67,55,46,60,56
"340",25,79,35,33,35,40,42,75,59,47,44,45,45,43,43
"341",61,55,77,76,56,49,44,69,61,59,34,44,58,54,58
"342",97,110,30,42,77,62,33,42,40,54,62,51,56,54,60
"343",11,73,54,73,44,56,64,44,50,60,43,65,51,56,51
"344",32,34,26,60,27,44,53,66,53,47,43,59,46,44,48
"345",48,24,72,49,77,38,50,50,46,54,58,41,42,56,47
"346",72,30,23,34,53,38,70,51,55,69,60,49,48,46,62
"347",55,23,24,113,31,53,53,51,55,50,40,39,52,46,46
"348",49,27,46,14,37,48,42,41,49,38,46,45,49,49,57
"349",44,58,48,26,49,58,38,55,46,70,47,48,40,52,50
"350",57,49,46,44,54,46,48,46,70,58,57,58,58,48,52
"351",78,48,68,92,55,51,44,51,38,40,50,46,38,50,66
"352",82,62,28,32,54,50,31,37,42,42,54,44,46,57,51
"353",32,19,82,11,24,53,63,62,54,44,48,43,43,47,42
"354",59,74,75,20,42,49,49,35,67,47,51,54,47,47,67
"355",28,25,98,48,75,54,58,40,40,49,49,52,53,57,59
"356",20,29,27,66,31,63,55,44,30,60,60,32,55,58,42
"357",47,33,82,36,71,51,37,48,34,48,42,64,56,41,43
"358",86,65,53,43,27,33,69,52,49,51,40,49,52,38,42
"359",61,34,28,18,55,49,38,59,57,61,51,60,63,39,44
"360",53,44,25,71,9,60,46,49,39,37,47,52,62,49,46
"361",67,44,31,65,15,55,46,60,47,55,37,44,48,54,61
"362",48,20,66,54,27,47,57,67,38,36,49,66,63,39,57
"363",68,37,25,69,77,57,40,71,66,56,51,42,45,47,53
"364",63,83,51,82,115,49,48,43,59,26,53,51,60,46,56
"365",100,93,77,74,68,64,49,68,53,38,44,50,45,64,39
"366",108,46,66,68,67,54,35,48,63,39,53,54,45,56,49
"367",21,64,87,48,45,39,47,51,60,67,49,41,57,51,38
"368",33,68,39,34,152,70,66,40,58,77,61,49,45,59,55
"369",100,48,54,16,32,36,79,47,55,58,50,50,53,53,32
"370",15,24,45,49,33,50,54,60,53,56,39,40,57,52,46
"371",10,66,19,68,20,68,53,40,38,45,58,50,48,49,42
"372",100,48,79,85,30,36,57,57,41,35,41,60,47,53,63
"373",19,34,71,54,49,35,52,63,49,55,55,74,46,38,65
"374",42,74,25,62,44,55,40,53,56,41,58,56,54,51,54
"375",43,14,42,42,38,38,59,56,70,38,44,48,53,48,52
"376",54,107,43,31,47,52,29,45,56,41,46,52,35,52,44
"377",35,17,16,43,46,44,42,55,56,42,55,52,63,64,41
"378",23,14,86,40,53,63,31,52,44,63,41,46,59,56,53
"379",48,39,86,42,67,45,53,31,52,42,49,55,51,54,44
"380",55,37,73,61,117,43,52,67,50,48,43,38,50,43,40
"381",50,50,68,49,25,50,43,63,42,42,65,38,64,59,44
"382",21,50,38,49,58,57,30,44,54,42,47,42,44,51,46
"383",11,53,54,71,29,49,37,49,52,63,50,45,60,42,55
"384",88,40,57,44,51,39,49,59,48,74,49,51,44,57,46
"385",57,41,27,29,27,37,62,36,51,32,57,42,55,49,36
"386",70,56,44,42,46,54,52,52,56,52,47,35,48,47,44
"387",57,102,63,15,95,63,46,55,55,50,46,43,55,51,50
"388",96,84,18,86,52,42,48,60,44,47,48,45,58,50,60
"389",55,28,16,67,25,48,45,54,52,41,50,54,53,57,61
"390",32,131,110,95,63,53,71,51,33,76,63,50,39,48,34
"391",42,48,23,42,38,55,55,58,61,46,49,43,54,55,50
"392",48,33,38,32,47,65,69,54,51,64,45,47,53,40,47
"393",33,25,19,53,54,53,46,36,67,44,47,44,39,52,43
"394",70,30,44,54,60,41,67,52,53,49,54,61,38,57,50
"395",46,56,55,35,33,44,45,56,43,55,55,60,54,58,58
"396",56,124,5,79,35,53,54,33,49,52,51,63,48,56,67
"397",80,46,64,22,54,42,43,32,45,41,44,45,54,46,48
"398",21,58,23,73,79,58,35,67,62,43,44,71,32,51,53
"399",19,62,53,26,23,54,52,41,43,38,54,47,58,45,49
"400",46,34,32,40,99,49,63,51,62,64,45,49,62,60,49
"401",21,30,22,44,45,66,56,29,35,52,53,45,44,41,53
"402",19,23,66,56,55,33,43,55,47,38,56,42,51,62,52
"403",15,52,48,36,30,40,46,61,36,43,46,54,46,41,45
"404",48,62,80,66,77,54,49,31,53,61,60,68,40,50,41
"405",68,57,56,56,43,30,52,61,54,35,37,55,38,44,42
"406",64,65,69,29,108,38,47,41,54,65,47,52,55,53,57
"407",20,57,40,29,47,31,44,38,55,54,56,51,49,56,57
"408",19,59,24,34,27,46,61,29,37,62,32,45,52,55,41
"409",39,51,42,71,29,60,59,49,38,55,45,47,38,56,58
"410",31,47,56,29,76,57,53,45,48,39,37,48,47,45,52
"411",30,81,47,71,33,36,49,51,38,37,45,48,49,51,56
"412",46,50,80,74,78,36,48,39,30,38,57,56,51,48,54
"413",30,80,46,31,34,48,59,53,48,43,53,56,57,43,58
"414",49,65,56,59,60,33,39,48,37,53,42,55,51,39,49
"415",98,40,67,49,81,36,53,44,55,44,42,50,50,49,72
"416",47,81,59,49,39,50,54,54,46,58,50,50,50,33,51
"417",24,35,26,58,52,39,62,53,45,61,33,54,41,58,42
"418",46,28,101,44,69,52,54,50,45,43,37,40,52,49,47
"419",26,55,37,33,28,40,52,58,64,49,50,57,65,48,51
"420",37,54,60,60,49,50,57,43,57,62,42,54,56,47,47
